chapter,volume,name,page,date
282,30.0,Desire,19,2003-06-30
283,30.0,On the Front Line of Rescuing Love,19,2003-07-07
284,30.0,Sorry,19,2003-07-14
285,30.0,Capriccio,19,2003-07-19
286,31.0,The Shandoran Demon,17,2003-07-28
287,31.0,Kami Killing,19,2003-08-11
288,31.0,Curse,19,2003-08-25
289,31.0,Full Moon,21,2003-09-01
290,31.0,The Light of Shandora,19,2003-09-08
291,31.0,We'll Be Here,19,2003-09-13
292,31.0,"To Meet, like the Half-Moon Hidden by Clouds",19,2003-09-22
293,31.0,Bolero,19,2003-09-29
294,31.0,Kingdom Come,19,2003-10-06
295,31.0,Giant Jack,19,2003-10-11
296,32.0,High-Altitude Situation,19,2003-10-20
297,32.0,Praise for the Land,19,2003-10-27
298,32.0,Love Song,19,2003-11-01
299,32.0,Fantasia,19,2003-11-10
300,32.0,Symphony,19,2003-11-22
301,32.0,I Was Here,19,2003-12-01
302,32.0,Finale,19,2003-12-08
303,32.0,Rich Pirates,19,2003-12-15
304,32.0,Long Island Adventure,21,2003-12-22
305,32.0,Foxy the Silver Fox,19,2004-01-05
306,33.0,Donut Race!,19,2004-01-19
307,33.0,"Ready, Set, Donut!",19,2004-01-26
308,33.0,Obstructive Tactics,19,2004-02-02
309,33.0,Groggy Monsters,17,2004-02-09
310,33.0,Groggy Ring!!,19,2004-02-16
311,33.0,Rough Game,19,2004-02-23
312,33.0,Goal!!,19,2004-03-01
313,33.0,Main Event,19,2004-03-08
314,33.0,Combat!!,19,2004-03-15
315,33.0,Secret Room,19,2004-03-22
316,33.0,Brother Soul,19,2004-03-29
317,34.0,K.O.,21,2004-04-12
318,34.0,Closure,19,2004-04-19
319,34.0,Admiral Aokiji of the Navy Headquarters,19,2004-04-26
320,34.0,Ultimate Military Force,19,2004-05-10
321,34.0,One-on-One,19,2004-05-17
322,34.0,Puffing Tom,19,2004-05-24
323,34.0,"The City of Water, Water Seven",19,2004-05-31
324,34.0,Adventures in the City of Water,19,2004-06-07
325,34.0,The Franky Family,19,2004-06-14
326,34.0,Mr. Iceberg,17,2004-06-21
327,34.0,"Shipbuilding Island, Repair Dock No. 1",21,2004-06-28
328,35.0,The Pirate Abduction Incident,19,2004-07-12
329,35.0,My Name Is Franky,19,2004-07-17
330,35.0,It's Decided,17,2004-07-26
331,35.0,The Big Argument,19,2004-08-02
332,35.0,Luffy vs. Usopp,18,2004-08-09
333,35.0,Captain,18,2004-08-23
334,35.0,Big Trouble in the Secret Room,19,2004-08-30
335,35.0,Warning,19,2004-09-06
336,35.0,Luffy vs. Franky,19,2004-09-13
337,36.0,Protectors of the City of Water,19,2004-09-18
338,36.0,Coup de Vent,19,2004-09-27
339,36.0,Rumors,19,2004-10-04
340,36.0,The Woman Who Brings Darkness,19,2004-10-09
341,36.0,Demon,19,2004-10-18
342,36.0,The Messengers of Darkness,19,2004-10-25
343,36.0,Cipher Pol No. 9,19,2004-11-01
344,36.0,Opposing Force,19,2004-11-08
345,36.0,Sleepers,19,2004-11-15
346,36.0,The Ninth Justice,19,2004-11-29
347,37.0,Six Powers,19,2004-12-06
348,37.0,Fighting Power,20,2004-12-13
349,37.0,Ordinary Citizens,19,2004-12-20
350,37.0,The Warehouse Under the Bridge,19,2005-01-03
351,37.0,Klabautermann,19,2005-01-17
352,37.0,Tom's Workers,19,2005-01-24
353,37.0,The Legendary Shipwright,19,2005-01-31
354,37.0,Sea Train,19,2005-02-07
355,37.0,Spandam,19,2005-02-14
356,37.0,Mr. Tom,19,2005-02-28
357,37.0,Cutty Flam,21,2005-03-07
358,38.0,Reactivation,19,2005-03-14
359,38.0,Bingo,19,2005-03-19
360,38.0,Departing Soon,19,2005-03-28
361,38.0,P.S.,19,2005-04-04
362,38.0,Ebb Tide,19,2005-04-11
363,38.0,Aqua Laguna,19,2005-04-18
364,38.0,Kokoro,19,2005-04-25
365,38.0,Rocketman!!,19,2005-05-09
366,38.0,Sortie!,19,2005-05-16
367,38.0,Sniper King,19,2005-05-23
368,39.0,Sea Train Battle Game,19,2005-05-30
369,39.0,Ramen Kung Fu,19,2005-06-06
370,39.0,You're Not Alone,19,2005-06-13
371,39.0,The Honorable Captain T Bone,19,2005-06-20
372,39.0,Plastic Surgery,19,2005-06-27
373,39.0,Necessary Evil,19,2005-07-04
374,39.0,Scramble,19,2005-07-16
375,39.0,The Supermen of Enies Lobby,19,2005-07-25
376,39.0,I Got It!!,19,2005-08-01
377,39.0,The Big Showdown on the Judiciary Island,19,2005-08-08
378,40.0,Casualties,19,2005-08-22
379,40.0,Power Level,19,2005-08-29
380,40.0,Enies Lobby Main Island Express,19,2005-09-05
381,40.0,Fired,18,2005-09-12
382,40.0,Demon Lair,19,2005-09-17
383,40.0,Luffy vs. Blueno,19,2005-09-26
384,40.0,Signal the Counterattack,19,2005-10-03
385,40.0,There Is a Way,19,2005-10-08
386,40.0,Unprecedented,15,2005-10-17
387,40.0,Gear,19,2005-10-31
388,40.0,Gear Two,19,2005-11-07
389,41.0,Response,19,2005-11-14
390,41.0,Accepting the Challenge,19,2005-11-21
391,41.0,The Girl They Called a Demon,19,2005-11-28
392,41.0,Dereshi,19,2005-12-12
393,41.0,Olvia,19,2005-12-19
394,41.0,The Demons of Ohara,19,2005-12-26
395,41.0,Ohara vs. the World Government,19,2006-01-07
396,41.0,Saul,19,2006-01-23
397,41.0,In Hopes of Reaching the Future,19,2006-01-30
398,41.0,Declaration of War,19,2006-02-06
399,41.0,Jump Toward the Waterfall!!,19,2006-02-13
400,42.0,The Key to Freedom,19,2006-02-20
401,42.0,Pirates vs. CP9,19,2006-02-27
402,42.0,Handcuffs No. 2,19,2006-03-06
403,42.0,Mr. Chivalry,19,2006-03-13
404,42.0,Franky vs. Fukurou,19,2006-03-20
405,42.0,Power,19,2006-03-27
406,42.0,Life Return,19,2006-04-10
407,42.0,Monster,19,2006-04-17
408,42.0,Monster vs. Kumadori,19,2006-04-24
409,42.0,The Terrifying Broadcast,19,2006-05-08
410,43.0,Super-Size Nami,19,2006-05-15
411,43.0,Nami vs. Kalifa,19,2006-05-22
412,43.0,You Missed Your Chance,19,2006-05-29
413,43.0,Hunter,19,2006-06-05
414,43.0,Sanji vs. Jabra,19,2006-06-12
415,43.0,Heat Up,19,2006-06-19
416,43.0,Zolo vs. Kaku,19,2006-06-26
417,43.0,Asura,19,2006-07-03
418,43.0,Luffy vs. Rob Lucci,19,2006-07-10
419,43.0,Legend of a Hero,19,2006-07-15
420,44.0,Buster Call,19,2006-07-24
421,44.0,Gear Three,19,2006-07-31
422,44.0,Rob Lucci,19,2006-08-07
423,44.0,Mermaid Legend,19,2006-08-21
424,44.0,Escape Ship,19,2006-08-28
425,44.0,Bridge of Mortal Combat,19,2006-09-04
426,44.0,A Ship Waiting for Wind,19,2006-09-11
427,44.0,This Isn't the Afterlife,19,2006-09-16
428,44.0,Let's Go Back,19,2006-09-25
429,44.0,Utter Defeat,19,2006-10-02
430,44.0,A Light Snow of Reminiscence Falls,19,2006-10-07
431,45.0,Fist of Love,19,2006-10-23
432,45.0,Jack-in-the-Box,19,2006-10-30
433,45.0,The Name of That Sea,19,2006-11-06
434,45.0,Whitebeard and Red-Hair,19,2006-11-13
435,45.0,You Have My Sympathies,19,2006-11-20
436,45.0,Trunks from Franky-House,19,2006-12-04
437,45.0,Naked Mania,19,2006-12-11
438,45.0,Pride,19,2006-12-18
439,45.0,Third and Seventh,19,2006-12-25
440,45.0,Fire Fist vs. Blackbeard,19,2007-01-06
441,46.0,Duel on Banaro Island,19,2007-01-22
442,46.0,Adventure in the Demonic Sea,19,2007-01-29
443,46.0,Thriller Bark,19,2007-02-05
444,46.0,Adventure on Ghost Island,19,2007-02-10
445,46.0,Zombies,19,2007-02-19
446,46.0,Doctor Hogback,19,2007-02-26
447,46.0,Zombie-in-the-Box,19,2007-03-05
448,46.0,Moria,19,2007-03-12
449,46.0,The Four Monsters of Thriller Bark,19,2007-03-26
450,47.0,Night of the General Zombies,19,2007-04-02
451,47.0,Perona's Wonder Garden,19,2007-04-09
452,47.0,Jigoro of the Wind,19,2007-04-16
453,47.0,"Cloudy, Partly Bony",19,2007-04-23
454,47.0,The Humming Swordsman,19,2007-04-28
455,47.0,Gecko Moria of the Seven Warlords of the Sea,19,2007-05-14
456,47.0,Demon from the Land of Ice,19,2007-05-21
457,47.0,Meat!!!,17,2007-05-28
458,47.0,Anything but My Afro,19,2007-06-04
459,47.0,I Can't Just Die Hoping to be Forgiven,19,2007-06-11
460,48.0,Conquest Before Dawn!!,19,2007-06-25
461,48.0,Ghost Buster,19,2007-07-02
462,48.0,Adventures of Oars,19,2007-07-09
463,48.0,Pirate Sanji vs. Mystery Man Absalom,19,2007-07-14
464,48.0,Sanji's Dream,19,2007-07-23
465,48.0,Pirate Usopp vs. Mystery Woman Perona,19,2007-07-30
466,48.0,Conclusion,19,2007-08-06
467,48.0,Pirate Zolo vs. Samurai Ryuma,19,2007-08-20
468,48.0,Pirate Chopper vs. Mystery Man Hogback,19,2007-08-27
469,48.0,"Come Out Here, Straw Hat Pirates!",19,2007-09-03
470,48.0,Oars vs. Straw Hat Pirates,19,2007-09-10
471,49.0,My Friend,17,2007-09-22
472,49.0,Down,19,2007-10-01
473,49.0,Warlord Bartholomew Kuma Appears,19,2007-10-06
474,49.0,We Have To Do It!,19,2007-10-15
475,49.0,Pirates Of The Forest,19,2007-10-22
476,49.0,Nightmare Luffy,19,2007-10-29
477,49.0,3/8,19,2007-11-05
478,49.0,Luffy vs Luffy,19,2007-11-12
479,49.0,Warrior Of Hope,19,2007-11-19
480,49.0,Interception,19,2007-12-03
481,49.0,Shadows Asgard,19,2007-12-10
482,50.0,Morning Is Coming,19,2007-12-17
483,50.0,The End Of The Dream,19,2007-12-25
484,50.0,Squish,19,2008-01-04
485,50.0,Straw Hat Pirates - Pirate Hunter Zolo,19,2008-01-21
486,50.0,Piano,19,2008-01-28
487,50.0,That Song,19,2008-02-04
488,50.0,Song of Love,19,2008-02-09
489,50.0,Eighth Person,19,2008-02-25
490,50.0,Arriving Again,19,2008-03-03
491,50.0,Flying Fish Riders,19,2008-03-10
492,51.0,Iron Mask Duval,19,2008-03-17
493,51.0,You Know Me,19,2008-03-24
494,51.0,Duval's Tragedy,19,2008-03-31
495,51.0,Gaon Cannon,19,2008-04-07
496,51.0,Yarukiman Mangrove,19,2008-04-14
497,51.0,Adventure on the Archipelago of Dancing Soap Bubbles,19,2008-04-21
498,51.0,The Eleven Supernovas,19,2008-04-28
499,51.0,Sabaody Park,19,2008-05-19
500,51.0,The Embers of History,19,2008-05-26
501,51.0,The World Begins to Swell,19,2008-06-02
502,51.0,The Incident of the Celestial Dragons,19,2008-06-09
503,52.0,Aggravated Island,19,2008-06-16
504,52.0,Pirate Front Line on the Move!!,19,2008-06-23
505,52.0,Kuma,19,2008-06-30
506,52.0,Roger and Rayleigh,19,2008-07-07
507,52.0,Kizaru Arrives,19,2008-07-19
508,52.0,Island of Carnage,19,2008-07-28
509,52.0,Kizaru vs. Four Captains,19,2008-08-04
510,52.0,Straw Hat Pirates vs. War Machine,19,2008-08-11
511,52.0,Axe-Carrying Sentomaru,19,2008-08-25
512,52.0,"Zolo, Gone",19,2008-09-01
513,53.0,Beyond Rescue!!!,19,2008-09-08
514,53.0,Body Parasite Mushrooms,19,2008-09-13
515,53.0,Adventure on the Island of Women,19,2008-09-22
516,53.0,Pirate Empress Boa Hancock,17,2008-09-29
517,53.0,Bath Time,19,2008-10-06
518,53.0,Coliseum,19,2008-10-11
519,53.0,Natural Born King,19,2008-10-27
520,53.0,Eye of the Gorgon,19,2008-11-01
521,53.0,Hoof of the Celestial Dragon,19,2008-11-10
522,53.0,Fatal Illness,19,2008-11-17
523,54.0,Hell,19,2008-11-22
524,54.0,Unstoppable,19,2008-12-01
525,54.0,The Underwater Prison Impel Down,19,2008-12-08
526,54.0,Adventure in the Great Prison,19,2008-12-22
527,54.0,Level 1: Crimson Hell,19,2009-01-05
528,54.0,"Jimbei, First Son of the Sea",19,2009-01-19
529,54.0,Level 2: Beast Hell,19,2009-01-26
530,54.0,From One Hell to Another,19,2009-02-02
531,54.0,Level 3: Starvation Hell,19,2009-02-09
532,54.0,Jailer Beast Minotaur,19,2009-02-16
533,55.0,Level 4: Inferno Hell,19,2009-02-23
534,55.0,Warden Magellan vs. Pirate Luffy,19,2009-03-09
535,55.0,Friend,19,2009-03-16
536,55.0,Level 5: Frozen Hell,19,2009-03-23
537,55.0,A Ray of Hope,19,2009-03-30
538,55.0,Level 5.5 New Kama Land,19,2009-04-06
539,55.0,Emporio Energy Synthesis,19,2009-04-13
540,55.0,Level 6: Infinite Hell,19,2009-04-27
541,55.0,The Greatest Ever,19,2009-05-11
542,56.0,Yet Another Epic Incident,19,2009-05-18
543,56.0,Straw Hat and Blackbeard,19,2009-05-25
544,56.0,The Lid to the Cauldron of Hell Opens,19,2009-06-01
545,56.0,To Sunshine and Freedom,19,2009-06-08
546,56.0,"Fish-Man Pirate Captain Jimbei, Warlord of the Sea",17,2009-06-15
547,56.0,Island Ripper,19,2009-06-22
548,56.0,Thank You,19,2009-06-29
549,56.0,Battleship,19,2009-07-06
550,56.0,Navy Headquarters,19,2009-07-18
551,56.0,Whitebeard of The Four Emperors,19,2009-07-27
552,57.0,Ace and Whitebeard,19,2009-08-03
553,57.0,Summit Battle,17,2009-08-10
554,57.0,Admiral Akainu,15,2009-08-24
555,57.0,Oars and the Hat,19,2009-08-31
556,57.0,Justice Will Prevail!,17,2009-09-07
557,57.0,Luffy and Whitebeard,17,2009-09-19
558,57.0,Little Brother,17,2009-09-28
559,57.0,Destiny,17,2009-10-05
560,57.0,Prisoners of Impel Down,17,2009-10-10
561,57.0,Luffy vs. Mihawk,17,2009-10-26
562,57.0,Whirl Spider Squard,17,2009-11-02
563,58.0,"One Man, One Heart",17,2009-11-09
564,58.0,The Man Who Shook The World,17,2009-11-21
565,58.0,Oars' Path,17,2009-11-30
566,58.0,Raid,19,2009-12-07
567,58.0,Marineford Navy Headquarters - Oris Plaza,19,2009-12-14
568,58.0,Have It Your Way!,15,2009-12-21
569,58.0,White Monster,15,2010-01-04
570,58.0,The Bridge of Life,15,2010-01-18
