rank,name,points,our_character_id,is_variant,wiki_title
32,Going Merry,49992,Merry,False,Going Merry
33,Silvers Rayleigh,44852,Silvers_Rayleigh,False,Silvers Rayleigh
34,Buggy,43559,Buggy,False,Buggy
35,Enel,39144,Enel,False,Enel
36,Kuzan (Aokiji),38127,Kuzan,False,Kuzan (Aokiji)
37,Woop Slap,37528,Woop_Slap,False,Woop Slap
38,Tashigi,34582,Tashigi,False,Tashigi
39,Vinsmoke Reiju,33481,Vinsmoke_Reiju,False,Vinsmoke Reiju
40,Bartolomeo,31694,Bartolomeo,False,Bartolomeo
41,X Drake,28744,X_Drake,False,X Drake
42,Koby,24841,Koby,False,Koby
43,Rob Lucci,24726,Rob_Lucci,False,Rob Lucci
44,Monkey D. Garp,23693,Monkey_D._Garp,False,Monkey D. Garp
45,Charlotte Pudding,23334,Charlotte_Pudding,False,Charlotte Pudding
46,Marshall D. Teach,22474,Marshall_D._Teach,False,Marshall D. Teach
47,Kikunojo,21040,Kikunojo,False,Kikunojo
48,Izou,20940,Izou,False,Izou
49,Kouzuki Hiyori,20427,Kouzuki_Hiyori,False,Kouzuki Hiyori
50,Shirahoshi,19690,Shirahoshi,False,Shirahoshi
51,Pell,19467,Pell,False,Pell
52,Issho (Fujitora),18570,Issho,False,Issho (Fujitora)
53,Sakazuki (Akainu),18362,Sakazuki,False,Sakazuki (Akainu)
54,Kurozumi Tama,18159,Tama,False,Kurozumi Tama
55,Killer,17924,Killer,False,Killer
56,Ulti,17707,Ulti,False,Ulti
57,Benn Beckman,17576,Benn_Beckman,False,Benn Beckman
58,Koala,17512,Koala,False,Koala
59,Borsalino (Kizaru),15559,Borsalino,False,Borsalino (Kizaru)
60,Gaimon,15041,Gaimon,False,Gaimon
61,Pedro,14983,Pedro,False,Pedro
62,Monkey D. Dragon,14410,Monkey_D._Dragon,False,Monkey D. Dragon
63,Thousand Sunny,14179,,False,Thousand Sunny
64,Bepo,13938,Bepo,False,Bepo
65,Kaidou,13847,Kaidou,False,Kaidou
66,Rockstar,13572,Rockstar,False,Rockstar
67,Hiriluk,13500,Hiriluk,False,Hiriluk
68,Rebecca,13357,Rebecca,False,Rebecca
69,Paulie,13344,Paulie,False,Paulie
70,Urouge,13086,Urouge,False,Urouge
71,Namur,13034,Namur,False,Namur
72,Senor Pink,12750,Senor_Pink,False,Senor Pink
73,Cavendish,12424,Cavendish,False,Cavendish
74,Gecko Moria,12276,Gecko_Moria,False,Gecko Moria
75,Karoo,12127,Karoo,False,Karoo
76,Monet,12115,Monet,False,Monet
77,Kaku (Cipher Pol),11909,Kaku,False,Kaku (Cipher Pol)
78,Orlumbus,11425,Orlumbus,False,Orlumbus
79,Emporio Ivankov,11043,Emporio_Ivankov,False,Emporio Ivankov
80,Morgans,10812,Morgans,False,Morgans
81,Bell-mère,10704,Bell-mère,False,Bell-mère
82,Basil Hawkins,10590,Basil_Hawkins,False,Basil Hawkins
83,Denjiro (Kyoshiro),10488,Denjiro,False,Denjiro (Kyoshiro)
84,Gin,9944,Gin,False,Gin
85,Jewelry Bonney,9929,Jewelry_Bonney,False,Jewelry Bonney
86,Charlotte Linlin (Big Mom),9864,Charlotte_Linlin,False,Charlotte Linlin (Big Mom)
87,Marguerite,9723,Marguerite,False,Marguerite
88,Wyper,9674,Wyper,False,Wyper
89,Kung-Fu Dugongs,9655,,False,Kung-Fu Dugongs
90,Charlotte Mont-d'Or,9470,Charlotte_Mont-d'Or,False,Charlotte Mont-d'Or
91,Caesar Clown,8888,Caesar_Clown,False,Caesar Clown
92,Kin'emon,8757,Kin'emon,False,Kin'emon
93,Zeff,8750,Zeff,False,Zeff
94,Vista,8577,Vista,False,Vista
95,Charlotte Perospero,8380,Charlotte_Perospero,False,Charlotte Perospero
96,Kawamatsu,8208,Kawamatsu,False,Kawamatsu
97,Pandaman,8017,Pandaman,False,Pandaman
98,Bartholomew Kuma,7940,Bartholomew_Kuma,False,Bartholomew Kuma
99,Charlotte Cracker,7910,Charlotte_Cracker,False,Charlotte Cracker
100,Chouchou,7776,Chouchou,False,Chouchou
101,Nekomamushi,,Nekomamushi,False,Nekomamushi
102,Baby 5,,Baby_5,False,Baby 5
103,Penguin,,Penguin,False,Penguin
104,Kuro,,Kuro,False,Kuro
105,Mont Blanc Noland,,Mont_Blanc_Noland,False,Mont Blanc Noland
106,Farafra,,Farafra,False,Farafra
107,Iceburg,,Iceburg,False,Iceburg
108,Mikita (Miss Valentine),,Mikita,False,Mikita (Miss Valentine)
109,Laboon,,Laboon,False,Laboon
110,Kyros,,Kyros,False,Kyros
111,Vinsmoke Niji,,Vinsmoke_Niji,False,Vinsmoke Niji
112,Batchee,,Batchee,False,Batchee
113,Curly Dadan,,Curly_Dadan,False,Curly Dadan
114,Makino,,Makino,False,Makino
115,Vinsmoke Ichiji,,Vinsmoke_Ichiji,False,Vinsmoke Ichiji
116,King,,King,False,King
117,Gedatsu,,Gedatsu,False,Gedatsu
118,Kalifa,,Kalifa,False,Kalifa
119,Hannyabal,,Hannyabal,False,Hannyabal
120,Diesel,,Diesel,False,Diesel
121,Daz Bonez (Mr. 1),,Daz_Bonez,False,Daz Bonez (Mr. 1)
122,Bellamy,,Bellamy,False,Bellamy
123,Magellan,,Magellan,False,Magellan
124,Higuma,,Higuma,False,Higuma
125,Kureha,,Kureha,False,Kureha
126,Page One,,Page_One,False,Page One
127,Belo Betty,,Belo_Betty,False,Belo Betty
128,Viola,,Viola,False,Viola
129,Kalgara,,Kalgara,False,Kalgara
130,Sugar,,Sugar,False,Sugar
131,Raki,,Raki,False,Raki
132,Foxy,,Foxy,False,Foxy
133,Alvida,,Alvida,False,Alvida
134,Shimotsuki Ryuma,,Shimotsuki_Ryuma,False,Ryuma (Disambiguation)
135,Jabra,,Jabra,False,Jabra
136,Leo,,Leo,False,Leo
137,Nami Fish-Woman,,,False,Nami Fish-Woman
138,Conis,,Conis,False,Conis
139,Arlong,,Arlong,False,Arlong
140,Kumashi,,Kumashi,False,Kumashi
141,Sasaki,,Sasaki,False,Sasaki
142,Vinsmoke Yonji,,Vinsmoke_Yonji,False,Vinsmoke Yonji
143,Galdino (Mr. 3),,Galdino,False,Galdino (Mr. 3)
144,Queen (Scien),,Queen,False,Queen (Scien)
145,Ryunosuke,,Ryunosuke,False,Ryunosuke
146,Rocks D. Xebec,,Rocks_D._Xebec,False,Rocks D. Xebec
147,Nezumi,,Nezumi,False,Nezumi
148,Nojiko,,Nojiko,False,Nojiko
149,Hina,,Hina,False,Hina
150,Tyrannosaurus,,Tyrannosaurus,False,Tyrannosaurus
151,Shimotsuki Yasuie (Tonoyasu),,Shimotsuki_Yasuie,False,Shimotsuki Yasuie (Tonoyasu)
152,Tom,,Tom,False,Tom
153,Kuina,,Kuina,False,Kuina
154,Lord of the Coast,,Lord_of_the_Coast,False,Lord of the Coast
155,Thatch,,Thatch,False,Thatch
156,Jaguar D. Saul,,Jaguar_D._Saul,False,Jaguar D. Saul
157,Fisher Tiger,,Fisher_Tiger,False,Fisher Tiger
158,Capone Bege,,Capone_Bege,False,Capone Bege
159,Hiking Bear,,,False,Hiking Bear
160,Nico Olvia,,Nico_Olvia,False,Nico Olvia
161,Krieg,,Krieg,False,Krieg
162,Marianne (Miss Goldenweek),,Marianne,False,Marianne (Miss Goldenweek)
163,Spandam,,Spandam,False,Spandam
164,Gyro,,Gyro,False,Gyro
165,Shachi,,Shachi,False,Shachi
166,Boa Sandersonia,,Boa_Sandersonia,False,Boa Sandersonia
167,Sengoku,,Sengoku,False,Sengoku
168,Black Maria,,Black_Maria,False,Black Maria
169,Scratchmen Apoo,,Scratchmen_Apoo,False,Scratchmen Apoo
170,Stussy,,Stussy,False,Stussy
171,Kouzuki Toki,,Kouzuki_Toki,False,Kouzuki Toki
172,Lucky Roux,,Lucky_Roux,False,Lucky Roux
173,T Bone,,T_Bone,False,T Bone
174,Maynard,,Maynard,False,Maynard
174,Straw Hat (Humanized),,,False,Straw Hat#Trivia
176,Charlotte Smoothie,,Charlotte_Smoothie,False,Charlotte Smoothie
177,Spencer,,Spencer,False,Spencer
178,Otohime,,Otohime,False,Otohime
179,Mansherry,,Mansherry,False,Mansherry
180,Kouzuki Momonosuke,,Kouzuki_Momonosuke,False,Kouzuki Momonosuke
181,Babanuki,,Babanuki,False,Babanuki
182,Koza,,Koza,False,Koza
183,Kaya,,Kaya,False,Kaya
184,Jack,,Jack,False,Jack
185,Rosward Charlos,,Rosward_Charlos,False,Rosward Charlos
186,Shakuyaku,,Shakuyaku,False,Shakuyaku
187,Speed,,Speed,False,Speed
188,Mont Blanc Cricket,,Mont_Blanc_Cricket,False,Mont Blanc Cricket
189,Toko,,Toko,False,Toko
190,Momonga,,Momonga,False,Momonga
191,Victoria Cindry,,Victoria_Cindry,False,Victoria Cindry
192,Kurozumi Kanjuro,,Kanjuro,False,Kurozumi Kanjuro
192,Pearl,,Pearl,False,Pearl
194,Vinsmoke Sora,,Vinsmoke_Sora,False,Vinsmoke Sora
195,Shyarly,,Shyarly,False,Shyarly
196,Hattori,,Hattori,False,Hattori
197,Vergo,,Vergo,False,Vergo
198,Chimney,,Chimney,False,Chimney
199,Gama Pyonnosuke,,Gama_Pyonnosuke,False,Gama Pyonnosuke
200,Portgas D. Rouge,,Portgas_D._Rouge,False,Portgas D. Rouge
201,Yasopp,,Yasopp,False,Yasopp
202,Helmeppo,,Helmeppo,False,Helmeppo
203,Tonjit,,Tonjit,False,Tonjit
204,Inazuma,,Inazuma,False,Inazuma
205,Zeus,,Zeus,False,Zeus
206,Jango,,Jango,False,Jango
207,Karasu,,Karasu,False,Karasu
208,Klabautermann,,,False,Klabautermann
209,Who's-Who,,Who's-Who,False,Who's-Who
210,Dellinger,,Dellinger,False,Dellinger
211,Camie,,Camie,False,Camie
212,Wanda,,Wanda,False,Wanda
213,Dalton,,Dalton,False,Dalton
214,Duval,,Duval,False,Duval
215,Anjo,,Anjo,False,Anjo
216,Hyougoro,,Hyougoro,False,Hyougoro
217,Inuarashi,,Inuarashi,False,Inuarashi
218,Hajrudin,,Hajrudin,False,Hajrudin
219,Pappag,,Pappag,False,Pappag
220,Rindo,,Rindo,False,Rindo
221,Heracles,,Heracles,False,Heracles
222,Scopper Gaban,,Scopper_Gaban,False,Scopper Gaban
223,Sadi,,Sadi,False,Sadi
224,Bao Huang,,Bao_Huang,False,Bao Huang
225,Daaachshund,,,False,Daaachshund
226,Charlotte Amande,,Charlotte_Amande,False,Charlotte Amande
227,Monster,,Monster,False,Monster
228,Lindbergh,,Lindbergh,False,Lindbergh
229,Laffitte,,Laffitte,False,Laffitte
230,Gonbe,,Gonbe,False,Gonbe
231,Charlotte Brûlée,,Charlotte_Brûlée,False,Charlotte Brûlée
232,Kurozumi Orochi,,Kurozumi_Orochi,False,Kurozumi Orochi
233,Toto,,Toto,False,Toto
234,Zala (Miss Doublefinger),,Zala,False,Zala (Miss Doublefinger)
235,Den Den Mushi,,,False,Den Den Mushi
235,Gladius,,Gladius,False,Gladius
235,Hatchan,,Hatchan,False,Hatchan
235,Ucy,,Ucy,False,Ucy
239,Bunbuku,,Bunbuku,False,Bunbuku
239,Onimaru (Gyukimaru),,Onimaru,False,Onimaru (Gyukimaru)
241,Matsuge,,Matsuge,False,Matsuge
241,Snowman-san,,,False,Snowman-san
241,Su,,Su,False,Su
244,Sai,,Sai,False,Sai
245,Johnny,,Johnny,False,Johnny
246,Nefertari Cobra,,Nefertari_Cobra,False,Nefertari Cobra
247,Crocus,,Crocus,False,Crocus
248,Chaka,,Chaka,False,Chaka
248,Lapahn,,,False,Lapahn
248,Shiryu,,Shiryu,False,Shiryu
251,Linear Fox,,,False,Animal Species/Dressrosa Saga#Linear Fox
251,Wanze,,Wanze,False,Wanze
253,Camel,,Camel,False,Camel
253,Nyasha,,Nyasha,False,Nyasha
255,Gan Fall,,Gan_Fall,False,Gan Fall
256,Genzo,,Genzo,False,Genzo
257,Momoo,,Momoo,False,Momoo
258,Nola,,Nola,False,Nola
259,Yorki,,Yorki,False,Yorki
260,Zunesha,,Zunesha,False,Zunesha
261,Jozu,,Jozu,False,Jozu
262,Kokoro,,Kokoro,False,Kokoro
263,Rika,,Rika,False,Rika
264,Ishilly,,Ishilly,False,Ishilly
264,Porche,,Porche,False,Porche
266,Charlotte Praline,,Charlotte_Praline,False,Charlotte Praline
267,South Bird,,,False,South Bird
268,Tsuru,,Tsuru,False,Tsuru
269,Charlotte Oven,,Charlotte_Oven,False,Charlotte Oven
269,Gerd,,Gerd,False,Gerd
271,Blueno,,Blueno,False,Blueno
272,Wicca,,Wicca,False,Wicca
273,Kamakiri,,Kamakiri,False,Kamakiri
274,Pekoms,,Pekoms,False,Pekoms
275,Little Oars Jr.,,Oars_Jr.,False,Little Oars Jr.
275,Trafalgar Lami,,Lami,False,Trafalgar Lami
277,Domino,,Domino,False,Domino
278,Ideo,,Ideo,False,Ideo
278,Yu,,Yu,False,Yu
280,Surume,,Surume,False,Surume
281,Ipponmatsu,,Ipponmatsu,False,Ipponmatsu
282,Haruta,,Haruta,False,Haruta
283,Charlotte Flampe,,Charlotte_Flampe,False,Charlotte Flampe
283,Tsunagoro,,Tsunagoro,False,Tsunagoro
285,Charlotte Galette,,Charlotte_Galette,False,Charlotte Galette
286,Nora Gitsune,,,False,Nora Gitsune
287,Van Augur,,Van_Augur,False,Van Augur
288,Domo-kun,,Domo-kun,False,Domo-kun
288,Pandawomanmi,,,False,Pandawomanmi
290,Richie,,Richie,False,Richie
291,Funkfreed,,Funkfreed,False,Funkfreed
292,Shinobu,,Shinobu,False,Shinobu
293,McGuy,,McGuy,False,McGuy
294,Caribou,,Caribou,False,Caribou
295,Boodle,,Boodle,False,Boodle
296,Mocha,,Mocha,False,Mocha
297,Marumieta,,Marumieta,False,Marumieta
298,Wado Ichimonji (Humanized),,,False,Wado Ichimonji#Trivia
299,Trebol,,Trebol,False,Trebol
300,Koushirou,,Koushirou,False,Koushirou
301,Milky,,Milky,False,Milky
302,Gatz,,Gatz,False,Gatz
303,Charlotte Lola,,Lola,False,Charlotte Lola
303,Demalo Black,,Demalo_Black,False,Demalo Black
305,Negikuma Maria,,Negikuma_Maria,False,Negikuma Maria
306,Chicken,,Chicken,False,Chicken
307,Robson,,Robson,False,Robson
308,Mikio Itoo,,Mikio_Itoo,False,Mikio Itoo
309,Aisa,,Aisa,False,Aisa
310,Mero,,Mero,False,Mero
311,Pagaya,,Pagaya,False,Pagaya
311,Whitey Bay,,Whitey_Bay,False,Whitey Bay
313,Pinky,,Pinky,False,Pinky
314,Doma,,Doma,False,Doma
315,Kumadori,,Kumadori,False,Kumadori
315,Wire,,Wire,False,Wire
317,Aphelandra,,Aphelandra,False,Aphelandra
317,Tristan,,Tristan,False,Tristan
317,Wapol,,Wapol,False,Wapol
320,Yosaku,,Yosaku,False,Yosaku
321,Salome,,Salome,False,Salome
322,Heat,,Heat,False,Heat
323,Tokikake,,Tokikake,False,Tokikake
324,Donquixote Mjosgard,,Donquixote_Mjosgard,False,Donquixote Mjosgard
324,Suleiman,,Suleiman,False,Suleiman
326,Megalo,,Megalo,False,Megalo
327,Aremo Ganmi,,Aremo_Ganmi,False,Aremo Ganmi
328,Hoe,,Hoe,False,Hoe
329,Bobbin,,Bobbin,False,Bobbin
330,Sentomaru,,Sentomaru,False,Sentomaru
331,Cosette,,Cosette,False,Cosette
331,Fukaboshi,,Fukaboshi,False,Fukaboshi
333,Absalom,,Absalom,False,Absalom
333,Sea Cat (Juvenile),,,False,Sea Cat (Juvenile)
335,Granny (Barto Club),,,False,Granny (Barto Club)
335,Lao G,,Lao_G,False,Lao G
337,Hody Jones,,Hody_Jones,False,Hody Jones
338,Ashura Doji (Shutenmaru),,Ashura_Doji,False,Ashura Doji (Shutenmaru)
338,Tacos,,Tacos,False,Tacos
340,Kibagaeru,,Kibagaeru,False,Kibagaeru
340,Lassoo,,Lassoo,False,Lassoo
340,Zeo,,Zeo,False,Zeo
343,Fukurou,,Fukurou,False,Fukurou
343,Yokozuna,,Yokozuna,False,Yokozuna
345,Chadros Higelyges,,,False,Chadros Higelyges
346,Ninjin,,Ninjin,False,Ninjin
347,Koyama,,Koyama,False,Koyama
347,Vasco Shot,,Vasco_Shot,False,Vasco Shot
349,Igaram (Mr. 8),,Igaram,False,Igaram (Mr. 8)
350,Bellett,,Bellett,False,Bellett
351,Sarahebi,,Sarahebi,False,Sarahebi
351,Shishilian,,Shishilian,False,Shishilian
353,Wadatsumi,,Wadatsumi,False,Wadatsumi
354,Shusui (Humanized),,,False,Shusui#Trivia
355,Doc Q,,Doc_Q,False,Doc Q
355,Moda,,Moda,False,Moda
355,Turco,,Turco,False,Turco
358,Henohenounchi,,,False,Henohenounchi
358,Hoichael,,,False,Hoichael
360,Attach,,Attach,False,Attach
360,Ethanbaron V. Nusjuro,,Ethanbaron_V._Nusjuro,False,Ethanbaron V. Nusjuro
362,Jesus Burgess,,Jesus_Burgess,False,Jesus Burgess
363,Brogy,,Brogy,False,Brogy
364,Morgan,,Morgan,False,Morgan
365,Plaaatypus,,,False,Plaaatypus
365,Suzume,,Suzume,False,Suzume
367,Brahm,,Barrel,False,Brahm
368,Vito,,Vito,False,Vito
369,Tsurujo,,Tsurujo,False,Tsurujo
370,Pacifista,,,False,Pacifista
371,Charlotte Daifuku,,Charlotte_Daifuku,False,Charlotte Daifuku
372,Clou D. Clover,,Clover,False,Clou D. Clover
373,Morley,,Morley,False,Morley
374,Raizo,,Raizo,False,Raizo
374,Scarlett,,Scarlett,False,Scarlett
376,Komachiyo,,Komachiyo,False,Komachiyo
376,Nero,,Nero,False,Nero
378,Drip,,Drip,False,Drip
378,Faust,,Faust,False,Faust
378,Yonka Two,,,False,Yonka Two
381,Haredas,,Haredas,False,Haredas
381,Pound,,Pound,False,Pound
383,Cabaji,,Cabaji,False,Cabaji
384,Oars,,Oars,False,Oars
384,Pankuta Dakeyan,,Pankuta_Dakeyan,False,Pankuta Dakeyan
386,Happa Yamao,,Happa_Yamao,False,Happa Yamao
386,Nekozaemon,,Nekozaemon,False,Nekozaemon
388,Sea Monkey,,,False,Sea Monkey
389,Mr. 9,,Mr._9,False,Mr. 9
390,Hyper Snowman-san,,,False,Hyper Snowman-san
391,Pierre,,Pierre,False,Pierre
391,Tamago,,Tamago,False,Tamago
393,Smiley,,Slime,False,Smiley
393,Vander Decken IX,,Vander_Decken_IX,False,Vander Decken IX
395,Hotori,,,False,Hotori
396,Vinsmoke Judge,,Vinsmoke_Judge,False,Vinsmoke Judge
397,Ripper,,Ripper,False,Ripper
398,Sanjuan Wolf,,Sanjuan_Wolf,False,Sanjuan Wolf
399,Hikoichi,,Kentauros,False,Hikoichi
400,Blamenco,,Blamenco,False,Blamenco
400,Edward Weevil,,Edward_Weevil,False,Edward Weevil
402,Mohji,,Mohji,False,Mohji
402,Tamanegi,,Tamanegi,False,Tamanegi
404,Capone Pez,,Capone_Pez,False,Capone Pez
404,Ukkari,,Ukkari,False,Ukkari
406,Mario,,Mario,False,Mario
407,Soro,,Soro,False,Soro
408,Charlotte Brownie,,Charlotte_Brownie,False,Charlotte Brownie
408,Elizabello II,,Elizabello_II,False,Elizabello II
408,Tanishi,,,False,Tanishi
411,Chinjao,,Chinjao,False,Chinjao
412,Aladine,,Aladine,False,Aladine
412,Bourbon Jr.,,Kentauros,True,Bourbon Jr.
412,Ivan X,,Kentauros,True,Ivan X
415,Dorry,,Dorry,False,Dorry
415,Itomimizu,,Itomimizu,False,Itomimizu
417,Fullbody,,Fullbody,False,Fullbody
418,Braham,,Braham,False,Braham
419,Ohm,,Ohm,False,Ohm
420,Eggplant Soldier,,Eggplant_Soldier,False,Eggplant Soldier
420,Shu,,Shu,False,Shu
422,Makino's Child,,Makino's_Child,False,Makino's Child
422,Randolph,,Randolph,False,Randolph
424,Fossa,,Fossa,False,Fossa
424,John,,John,False,John
426,Gem (Mr. 5),,Gem,False,Gem (Mr. 5)
426,Holy,,Holy,False,Holy
426,Shimotsuki Ushimaru,,Shimotsuki_Ushimaru,False,Shimotsuki Ushimaru
429,Bananawani,,,False,Bananawani
429,MocDonald,,MocDonald,False,MocDonald
429,Sandai Kitetsu (Humanized),,,False,Sandai Kitetsu#Trivia
432,Chome,,Chome,False,Chome
433,Cotton,,Cotton,False,Cotton
434,Miss Monday,,Miss_Monday,False,Miss Monday
434,Sea Dog Sheriff,,,False,Sea Dog Sheriff
436,Kingbaum,,Kingbaum,False,Kingbaum
436,Nuke Suzume,,Suzume,True,Fude Fude no Mi#Techniques
438,Neptune,,Neptune,False,Neptune
438,Seira,,Seira,False,Seira
440,Margarita,,Margarita,False,Margarita
440,Masira,,Masira,False,Masira
440,Sarfunkel,,Sarfunkel,False,Sarfunkel
443,Sea Cat (Adult),,,False,Sea Cat (Adult)
444,Spoil,,Spoil,False,Spoil
445,Pica,,Pica,False,Pica
446,Octopus Balloon,,,False,Octopus Balloon
446,Snow Leooopard,,,False,Snow Leooopard
448,Blue Gilly,,Blue_Gilly,False,Blue Gilly
448,Cocoa,,,False,Cocoa
448,Manjaro,,Manjaro,False,Manjaro
448,Strawberry,,Strawberry,False,Strawberry
452,Charlotte Chiffon,,Charlotte_Chiffon,False,Charlotte Chiffon
452,News Coo,,,False,News Coo
452,Ran,,Ran,False,Ran
455,Sodom,,Sodom,False,Sodom
456,Ikkaku,,Ikkaku,False,Ikkaku
456,Kong,,Kong,False,Kong
458,Catarina Devon,,Catarina_Devon,False,Catarina Devon
458,Charlotte Poire,,Charlotte_Poire,False,Charlotte Poire
460,Shelly,,Shelly,False,Shelly
461,Satori,,Satori,False,Satori
462,Brannew,,Brannew,False,Brannew
462,Mr. 7,,Mr._7,False,Mr. 7
464,Kiwi,,Mozu_and_Kiwi,False,Kiwi
464,Muret,,Muret,False,Muret
464,Rock,,,False,Rock
467,Gloriosa,,Gloriosa,False,Gloriosa
468,Isshi-100,,,False,Isshi-100
468,Merry,,Merry,True,Merry
470,Chew,,Chew,False,Chew
471,Bull,,,False,Animal Species/Water 7 Saga#Bull
471,Gatherine,,Gatherine,False,Gatherine
471,Laskey,,Laskey,False,Laskey
474,Eddy,,Eddy,False,Eddy
475,Buhichuck,,Buhichuck,False,Buhichuck
476,Gion (Momousagi),,Gion,False,Gion (Momousagi)
477,Michael,,,False,Michael
477,Minatomo (Wano),,Minatomo,False,Minatomo (Wano)
479,Gomorrah,,Gomorrah,False,Gomorrah
479,Stainless,,Stainless,False,Stainless
481,Mr. Beans,,Mr._Beans,False,Mr. Beans
481,Patty,,Patty,False,Patty
481,Shoujou,,Shoujou,False,Shoujou
484,Doskoi Panda,,,False,Animal Species/Whole Cake Island Saga#Doskoi Panda
485,Zambai,,Zambai,False,Zambai
486,Daidalos,,Daidalos,False,Daidalos
486,Rakuyo,,Rakuyo,False,Rakuyo
488,Pascia,,Pascia,False,Pascia
489,Bariete,,Bariete,False,Bariete
489,Rainbow Moray Eel Brothers,,,False,Rainbow Moray Eel Brothers
491,Gorilla,,Gorilla,False,Gorilla
491,Spector,,Spector,False,Spector
493,Bastille,,Bastille,False,Bastille
494,Cerberus (Zombie),,Cerberus,False,Cerberus (Zombie)
494,Minochihuahua,,Minochihuahua,False,Minochihuahua
494,Sterry,,Sterry,False,Sterry
497,Charlotte Myukuru,,Charlotte_Myukuru,False,Charlotte Myukuru
497,Hack (Fish-man),,Hack,False,Hack (Fish-man)
497,Inuppe,,Inuppe,False,Inuppe
500,Onigumo,,Onigumo,False,Onigumo
500,Peepley Lulu,,Peepley_Lulu,False,Peepley Lulu
500,Spacey,,Spacey,False,Spacey
503,Alice (Candidate 153),,Alice,False,Alice (Candidate 153)
503,Shin Detamaruka,,Shin_Detamaruka,False,Shin Detamaruka
503,Sky Fish,,,False,Sky Fish
506,Doha Ittanka II,,,False,Doha Ittanka II
506,Jobo,,Jobo,False,Jobo
508,Avalo Pizarro,,Avalo_Pizarro,False,Avalo Pizarro
508,Diamante,,Diamante,False,Diamante
508,Heppoko,,Heppoko,False,Heppoko
508,Peppoko,,Peppoko,False,Peppoko
508,Poppoko,,Poppoko,False,Poppoko
511,Mozu,,Mozu_and_Kiwi,True,Mozu
511,Sukoshiba Kanishitoru,,Sukoshiba_Kanishitoru,False,Sukoshiba Kanishitoru
513,Batman,,Batman,False,Batman
514,Bacura,,Bacura,False,Bacura
514,Hakowan,,Hakowan,False,Hakowan
514,Miss Father's Day,,Miss_Father's_Day,False,Miss Father's Day
514,Pudding Pudding,,Pudding_Pudding,False,Pudding Pudding
518,Sarquiss,,Sarquiss,False,Sarquiss
519,Charlotte Custard,,Charlotte_Custard,False,Charlotte Custard
519,Seto,,Seto,False,Seto
521,Scotch (Giant),,Yeti_Cool_Brothers,False,Yeti Cool Brothers
522,Boa Marigold,,Boa_Marigold,False,Boa Marigold
522,Kabu,,Kabu,False,Kabu
524,Concelot,,Concelot,False,Concelot
524,Shepherd Ju Peter,,Shepherd_Ju_Peter,False,Shepherd Ju Peter
526,Piiman,,Piiman,False,Piiman
527,Saldeath,,Saldeath,False,Saldeath
527,Streusen,,Streusen,False,Streusen
529,Nika (Mermaid),,Medaka_Mermaid_Quintuplets,False,Medaka Mermaid Quintuplets
529,Rosward Shalria,,Rosward_Shalria,False,Rosward Shalria
531,Prometheus,,Prometheus,False,Prometheus
532,Kanezenny,,Kanezenny,False,Kanezenny
533,Gimlet,,Gimlet,False,Gimlet
533,Shura,,Shura,False,Shura
533,Territorial Sea Slug,,,False,Animal Species/Whole Cake Island Saga#Territorial Sea Slug
536,Kouzuki Sukiyaki,,Tenguyama_Hitetsu,False,Kouzuki Sukiyaki
537,Uhho,,,False,Uhho
537,Yuki,,Yuki,False,Yuki
539,Columbus,,Columbus,False,Columbus
539,Dogra,,Dogra,False,Dogra
