rank,tier,score,id,name,arc_main_count,sig_appearance,sig_cover,sig_arc_main,sig_saga_breadth,sig_bio_completeness,sig_bounty,sig_devil_fruit,sig_affiliation,sig_conqueror_haki
17,A,0.6956,Donquixote_Doflamingo,Donquixote Doflamingo,2,0.6983,0.3437,0.3115,0.6364,1.0000,0.8754,1.0000,0.7500,1.0000
18,A,0.6813,Monkey_D._Garp,Monkey D. Garp,2,0.6301,0.3437,0.3115,0.7273,1.0000,0.9725,0.0000,0.7500,1.0000
19,A,0.6749,Smoker,Smoker,2,0.6442,0.3827,0.3115,0.8182,1.0000,0.8926,1.0000,0.7500,0.0000
20,A,0.6635,Borsalino,Borsalino,1,0.6037,0.2961,0.1966,0.6364,1.0000,0.9725,1.0000,1.0000,0.0000
21,A,0.6631,Trafalgar_D._Water_Law,Trafalgar D. Water Law,3,0.7719,0.5121,0.3931,0.4545,1.0000,0.9725,1.0000,0.7500,0.0000
22,A,0.6619,Crocodile,Crocodile,2,0.6631,0.2961,0.3115,0.7273,1.0000,0.9536,1.0000,0.7500,0.0000
23,A,0.6617,Gol_D._Roger,Gol D. Roger,0,0.5371,0.1480,0.0000,0.7273,0.8571,1.0000,0.0000,1.0000,1.0000
24,A,0.6601,Jinbe,Jinbe,6,0.8195,0.4693,0.5518,0.5455,1.0000,0.9278,0.0000,0.7500,0.0000
25,A,0.6591,Sakazuki,Sakazuki,2,0.5742,0.2346,0.3115,0.6364,1.0000,0.9952,1.0000,1.0000,0.0000
26,A,0.6489,Boa_Hancock,Boa Hancock,3,0.6037,0.1480,0.3931,0.5455,1.0000,0.9461,1.0000,0.7500,1.0000
27,A,0.6367,Bartholomew_Kuma,Bartholomew Kuma,1,0.6355,0.2961,0.1966,0.7273,1.0000,0.8693,1.0000,0.7500,0.0000
28,A,0.6059,Koby,Koby,3,0.6037,0.2346,0.3931,0.7273,1.0000,0.8926,0.0000,0.7500,0.0000
29,A,0.5918,Sabo,Sabo,1,0.6205,0.3827,0.1966,0.4545,1.0000,0.9009,1.0000,0.7500,0.0000
30,A,0.5896,Issho,Issho,0,0.5658,0.2961,0.0000,0.3636,1.0000,0.9725,1.0000,1.0000,0.0000
31,A,0.5815,Eustass_Kid,Eustass Kid,0,0.6459,0.3827,0.0000,0.4545,1.0000,0.9725,1.0000,0.3000,1.0000
32,A,0.5808,Marco,Marco,1,0.6185,0.2346,0.1966,0.6364,1.0000,0.9377,1.0000,0.5000,0.0000
33,A,0.5631,Nefertari_Vivi,Nefertari Vivi,6,0.7187,0.4441,0.5518,0.9091,0.8571,0.0000,0.0000,0.7500,0.0000
34,A,0.5620,Emporio_Ivankov,Emporio Ivankov,2,0.6205,0.1480,0.3115,0.4545,1.0000,0.8209,1.0000,0.7500,0.0000
35,A,0.5618,Bartolomeo,Bartolomeo,1,0.6185,0.3437,0.1966,0.3636,1.0000,0.8518,1.0000,0.7500,0.0000
36,A,0.5607,Sengoku,Sengoku,1,0.5872,0.2961,0.1966,0.6364,0.8571,0.0000,1.0000,1.0000,1.0000
37,A,0.5556,Caesar_Clown,Caesar Clown,1,0.6601,0.3437,0.1966,0.4545,1.0000,0.8699,1.0000,0.5000,0.0000
38,A,0.5545,Dracule_Mihawk,Dracule Mihawk,1,0.5628,0.0000,0.1966,0.6364,0.8571,0.9805,0.0000,0.7500,0.0000
39,A,0.5512,Helmeppo,Helmeppo,3,0.5847,0.2346,0.3931,0.5455,0.8571,0.8209,0.0000,0.7500,0.0000
40,A,0.5467,Tsuru,Tsuru,0,0.5057,0.1480,0.0000,0.5455,1.0000,0.8926,1.0000,0.7500,0.0000
41,A,0.5379,Gecko_Moria,Gecko Moria,1,0.5537,0.2346,0.1966,0.3636,1.0000,0.8727,1.0000,0.7500,0.0000
42,A,0.5368,Tashigi,Tashigi,2,0.6319,0.2961,0.3115,0.7273,1.0000,0.8209,0.0000,0.3000,0.0000
43,A,0.5314,X_Drake,X Drake,0,0.5769,0.2346,0.0000,0.3636,1.0000,0.8564,1.0000,0.7500,0.0000
44,A,0.5284,Silvers_Rayleigh,Silvers Rayleigh,1,0.5897,0.2961,0.1966,0.6364,0.7143,0.0000,0.0000,1.0000,1.0000
45,A,0.5270,Charlotte_Katakuri,Charlotte Katakuri,0,0.5405,0.2346,0.0000,0.2727,1.0000,0.9260,1.0000,0.5000,1.0000
46,A,0.5241,Galdino,Galdino,2,0.5969,0.2346,0.3115,0.6364,1.0000,0.7573,1.0000,0.3000,0.0000
47,A,0.5215,Jewelry_Bonney,Jewelry Bonney,1,0.6263,0.3827,0.1966,0.4545,1.0000,0.8727,1.0000,0.3000,0.0000
48,A,0.5201,Karoo,Karoo,3,0.6185,0.3437,0.3931,0.9091,0.8571,0.0000,0.0000,0.7500,0.0000
49,A,0.5176,Sai,Sai,1,0.5795,0.2961,0.1966,0.3636,1.0000,0.8540,0.0000,0.7500,0.0000
50,A,0.5163,Jesus_Burgess,Jesus Burgess,0,0.5473,0.1480,0.0000,0.6364,1.0000,0.7492,1.0000,0.5000,0.0000
51,A,0.5160,Chinjao,Chinjao,0,0.5568,0.2346,0.0000,0.1818,1.0000,0.8962,0.0000,0.7500,1.0000
52,A,0.5114,Capone_Bege,Capone Bege,0,0.6102,0.2961,0.0000,0.3636,1.0000,0.8767,1.0000,0.5000,0.0000
53,A,0.5111,Orlumbus,Orlumbus,1,0.5100,0.2346,0.1966,0.2727,1.0000,0.8384,0.0000,1.0000,0.0000
54,A,0.5022,Jaygarcia_Saturn,Jaygarcia Saturn,1,0.5897,0.1480,0.1966,0.6364,0.1429,0.0000,0.0000,1.0000,1.0000
55,A,0.5018,Aramaki,Aramaki,0,0.3330,0.0000,0.0000,0.3636,1.0000,0.9725,1.0000,1.0000,0.0000
56,A,0.4988,Rob_Lucci,Rob Lucci,3,0.6887,0.3827,0.3931,0.5455,0.8571,0.0000,1.0000,0.7500,0.0000
57,A,0.4977,Van_Augur,Van Augur,0,0.5012,0.0000,0.0000,0.6364,1.0000,0.8010,1.0000,0.5000,0.0000
58,A,0.4971,Kuzan,Kuzan,1,0.5921,0.1480,0.1966,0.6364,0.8571,0.0000,1.0000,1.0000,0.0000
59,A,0.4962,Bellamy,Bellamy,1,0.5505,0.2346,0.1966,0.3636,1.0000,0.8507,1.0000,0.5000,0.0000
60,A,0.4947,Inazuma,Inazuma,1,0.4470,0.1480,0.1966,0.3636,1.0000,0.8209,1.0000,0.7500,0.0000
61,A,0.4946,Cavendish,Cavendish,0,0.5872,0.2961,0.0000,0.2727,1.0000,0.8741,0.0000,0.7500,0.0000
62,A,0.4935,Karasu,Karasu,1,0.3916,0.0000,0.1966,0.4545,1.0000,0.8827,1.0000,0.7500,0.0000
63,A,0.4903,Scratchmen_Apoo,Scratchmen Apoo,0,0.5505,0.2346,0.0000,0.3636,1.0000,0.8767,1.0000,0.5000,0.0000
64,A,0.4900,Brogy,Brogy,2,0.6102,0.2346,0.3115,0.4545,1.0000,0.9497,0.0000,0.3000,0.0000
65,A,0.4826,Dorry,Dorry,1,0.6037,0.2346,0.1966,0.4545,1.0000,0.9497,0.0000,0.3000,0.0000
66,A,0.4823,Hina,Hina,0,0.4819,0.0000,0.0000,0.5455,1.0000,0.8518,1.0000,0.5000,0.0000
67,A,0.4801,Topman_Warcury,Topman Warcury,0,0.5405,0.1480,0.0000,0.6364,0.1429,0.0000,0.0000,1.0000,1.0000
68,A,0.4783,Marcus_Mars,Marcus Mars,0,0.5335,0.1480,0.0000,0.6364,0.1429,0.0000,0.0000,1.0000,1.0000
69,A,0.4774,Ethanbaron_V._Nusjuro,Ethanbaron V. Nusjuro,0,0.5298,0.1480,0.0000,0.6364,0.1429,0.0000,0.0000,1.0000,1.0000
70,A,0.4767,Queen,Queen,0,0.6059,0.2346,0.0000,0.1818,1.0000,0.9359,1.0000,0.5000,0.0000
71,A,0.4757,Kaku,Kaku,1,0.6703,0.2961,0.1966,0.5455,0.8571,0.0000,1.0000,0.7500,0.0000
72,A,0.4728,Doc_Q,Doc Q,0,0.4712,0.0000,0.0000,0.5455,1.0000,0.8063,1.0000,0.5000,0.0000
73,A,0.4721,Hatchan,Hatchan,2,0.6570,0.1480,0.3115,0.5455,0.8571,0.7083,0.0000,0.3000,0.0000
74,B,0.4707,Basil_Hawkins,Basil Hawkins,0,0.5473,0.2346,0.0000,0.2727,1.0000,0.8727,1.0000,0.5000,0.0000
75,B,0.4707,Momonga,Momonga,0,0.4535,0.0000,0.0000,0.4545,1.0000,0.8926,0.0000,0.7500,0.0000
76,B,0.4681,Monkey_D._Dragon,Monkey D. Dragon,0,0.5628,0.1480,0.0000,0.7273,0.8571,0.0000,0.0000,1.0000,0.0000
77,B,0.4658,Morley,Morley,0,0.4010,0.0000,0.0000,0.3636,1.0000,0.8688,1.0000,0.7500,0.0000
78,B,0.4627,Caribou,Caribou,1,0.6282,0.0000,0.1966,0.3636,1.0000,0.8540,1.0000,0.3000,0.0000
79,B,0.4624,Charlotte_Perospero,Charlotte Perospero,0,0.5658,0.2346,0.0000,0.1818,1.0000,0.9076,1.0000,0.5000,0.0000
80,B,0.4616,Pekoms,Pekoms,0,0.4966,0.2961,0.0000,0.2727,0.8571,0.8741,1.0000,0.5000,0.0000
81,B,0.4588,Tamago,Tamago,0,0.4919,0.2346,0.0000,0.2727,1.0000,0.8858,1.0000,0.5000,0.0000
82,B,0.4588,Doberman,Doberman,0,0.4403,0.0000,0.0000,0.4545,0.5714,0.8926,0.0000,0.7500,0.0000
83,B,0.4588,T_Bone,T Bone,0,0.3468,0.1480,0.0000,0.4545,1.0000,0.8926,0.0000,0.7500,0.0000
84,B,0.4587,Krieg,Krieg,1,0.4655,0.1480,0.1966,0.1818,1.0000,0.7419,0.0000,1.0000,0.0000
85,B,0.4577,Charlotte_Smoothie,Charlotte Smoothie,0,0.5012,0.1480,0.0000,0.2727,1.0000,0.9204,1.0000,0.5000,0.0000
86,B,0.4541,Bentham,Bentham,1,0.5847,0.2346,0.1966,0.5455,1.0000,0.7701,1.0000,0.0000,0.0000
87,B,0.4537,Diamante,Diamante,0,0.5405,0.1480,0.0000,0.0909,1.0000,0.8204,1.0000,0.7500,0.0000
88,B,0.4494,King,King,0,0.5298,0.1480,0.0000,0.1818,1.0000,0.9382,1.0000,0.5000,0.0000
89,B,0.4490,Charlotte_Oven,Charlotte Oven,0,0.4966,0.1480,0.0000,0.2727,1.0000,0.8699,1.0000,0.5000,0.0000
90,B,0.4488,Jango,Jango,2,0.6081,0.1480,0.3115,0.5455,1.0000,0.6157,0.0000,0.3000,0.0000
91,B,0.4479,Stainless,Stainless,0,0.3468,0.0000,0.0000,0.5455,0.2857,0.8926,0.0000,0.7500,0.0000
92,B,0.4467,Who's-Who,Who's-Who,0,0.4535,0.0000,0.0000,0.1818,1.0000,0.8965,1.0000,0.7500,0.0000
93,B,0.4458,Belo_Betty,Belo Betty,0,0.3817,0.0000,0.0000,0.2727,1.0000,0.8886,1.0000,0.7500,0.0000
94,B,0.4457,Sentomaru,Sentomaru,0,0.5298,0.2346,0.0000,0.4545,1.0000,0.8926,0.0000,0.3000,0.0000
95,B,0.4441,Comil,Comil,0,0.3817,0.0000,0.0000,0.4545,0.5714,0.8926,0.0000,0.7500,0.0000
96,B,0.4441,Strawberry,Strawberry,0,0.3817,0.0000,0.0000,0.4545,0.5714,0.8926,0.0000,0.7500,0.0000
97,B,0.4440,Charlotte_Daifuku,Charlotte Daifuku,0,0.4766,0.1480,0.0000,0.2727,1.0000,0.8699,1.0000,0.5000,0.0000
98,B,0.4430,Senor_Pink,Senor Pink,0,0.4819,0.2346,0.0000,0.2727,1.0000,0.7966,1.0000,0.5000,0.0000
99,B,0.4422,Jack,Jack,0,0.4966,0.0000,0.0000,0.2727,1.0000,0.9235,1.0000,0.5000,0.0000
100,B,0.4391,Ulti,Ulti,0,0.5222,0.1480,0.0000,0.1818,1.0000,0.8827,1.0000,0.5000,0.0000
101,B,0.4374,Prince_Grus,Prince Grus,0,0.3594,0.1480,0.0000,0.1818,1.0000,0.8926,1.0000,0.7500,0.0000
102,B,0.4355,Scopper_Gaban,Scopper Gaban,1,0.5298,0.1480,0.1966,0.3636,0.2857,0.0000,0.0000,1.0000,1.0000
103,B,0.4354,Charlotte_Mont-d'Or,Charlotte Mont-d'Or,0,0.5261,0.0000,0.0000,0.2727,1.0000,0.8290,1.0000,0.5000,0.0000
104,B,0.4306,Page_One,Page One,0,0.4966,0.1480,0.0000,0.1818,1.0000,0.8683,1.0000,0.5000,0.0000
105,B,0.4304,Alvida,Alvida,1,0.4535,0.0000,0.1966,0.5455,1.0000,0.6874,1.0000,0.3000,0.0000
106,B,0.4297,Leo,Leo,1,0.6123,0.3437,0.1966,0.3636,0.8571,0.0000,1.0000,0.7500,0.0000
107,B,0.4296,Izou,Izou,0,0.5628,0.2346,0.0000,0.1818,1.0000,0.8935,0.0000,0.5000,0.0000
108,B,0.4279,Laffitte,Laffitte,0,0.4258,0.0000,0.0000,0.5455,1.0000,0.7824,0.0000,0.5000,0.0000
109,B,0.4274,Kalifa,Kalifa,1,0.6224,0.2961,0.1966,0.3636,0.8571,0.0000,1.0000,0.7500,0.0000
110,B,0.4274,Shepherd_Ju_Peter,Shepherd Ju Peter,0,0.5298,0.1480,0.0000,0.6364,0.1429,0.0000,0.0000,1.0000,0.0000
111,B,0.4270,Kujaku,Kujaku,0,0.3178,0.1480,0.0000,0.1818,1.0000,0.8926,1.0000,0.7500,0.0000
112,B,0.4269,Loki,Loki,1,0.5182,0.1480,0.1966,0.1818,0.5714,0.9661,1.0000,0.0000,1.0000
113,B,0.4268,John_Giant,John Giant,0,0.3007,0.0000,0.0000,0.4545,0.7143,0.8926,0.0000,0.7500,0.0000
114,B,0.4258,Killer,Killer,0,0.5821,0.1480,0.0000,0.3636,1.0000,0.8518,0.0000,0.3000,0.0000
115,B,0.4248,Trebol,Trebol,0,0.5405,0.2346,0.0000,0.0909,1.0000,0.8204,1.0000,0.5000,0.0000
116,B,0.4240,Edward_Weevil,Edward Weevil,0,0.2814,0.1480,0.0000,0.3636,1.0000,0.8908,0.0000,0.7500,0.0000
117,B,0.4224,Daz_Bonez,Daz Bonez,0,0.5473,0.2346,0.0000,0.4545,1.0000,0.8081,1.0000,0.0000,0.0000
118,B,0.4223,Pica,Pica,0,0.5057,0.2961,0.0000,0.0909,1.0000,0.8204,1.0000,0.5000,0.0000
119,B,0.4220,Pedro,Pedro,2,0.5847,0.2961,0.3115,0.1818,0.8571,0.8806,0.0000,0.3000,0.0000
120,B,0.4217,Charlotte_Cracker,Charlotte Cracker,0,0.3594,0.1480,0.0000,0.2727,1.0000,0.9168,1.0000,0.5000,0.0000
121,B,0.4216,Boa_Marigold,Boa Marigold,2,0.4258,0.1480,0.3115,0.3636,1.0000,0.7801,1.0000,0.3000,0.0000
122,B,0.4216,Boa_Sandersonia,Boa Sandersonia,2,0.4258,0.1480,0.3115,0.3636,1.0000,0.7801,1.0000,0.3000,0.0000
123,B,0.4189,Fullbody,Fullbody,0,0.5371,0.0000,0.0000,0.6364,1.0000,0.6157,0.0000,0.3000,0.0000
124,B,0.4177,Lola,Lola,0,0.5335,0.1480,0.0000,0.4545,1.0000,0.7573,0.0000,0.3000,0.0000
125,B,0.4172,Lacroix,Lacroix,0,0.3468,0.0000,0.0000,0.3636,0.5714,0.8926,0.0000,0.7500,0.0000
126,B,0.4147,Inuarashi,Inuarashi,1,0.6390,0.2346,0.1966,0.2727,0.8571,0.0000,0.0000,1.0000,0.0000
127,B,0.4145,Bastille,Bastille,0,0.4470,0.0000,0.0000,0.1818,1.0000,0.8926,0.0000,0.7500,0.0000
128,B,0.4143,Crocus,Crocus,1,0.4403,0.0000,0.1966,0.6364,0.8571,0.0000,0.0000,1.0000,0.0000
129,B,0.4106,Suleiman,Suleiman,0,0.4258,0.1480,0.0000,0.1818,1.0000,0.8030,0.0000,0.7500,0.0000
130,B,0.4100,Yamakaji,Yamakaji,0,0.3178,0.0000,0.0000,0.3636,0.5714,0.8926,0.0000,0.7500,0.0000
131,B,0.4091,Nekomamushi,Nekomamushi,1,0.6165,0.2346,0.1966,0.2727,0.8571,0.0000,0.0000,1.0000,0.0000
132,B,0.4063,Arlong,Arlong,1,0.5261,0.1480,0.1966,0.3636,1.0000,0.7492,0.0000,0.3000,0.0000
133,B,0.4051,Onigumo,Onigumo,0,0.3709,0.0000,0.0000,0.2727,0.5714,0.8926,0.0000,0.7500,0.0000
134,B,0.4051,Yamato,Yamato,1,0.6645,0.2346,0.1966,0.1818,0.7143,0.0000,1.0000,0.5000,1.0000
135,B,0.4006,Nerona_Imu,Nerona Imu,0,0.5142,0.0000,0.0000,0.1818,0.2857,0.0000,1.0000,1.0000,1.0000
136,B,0.3983,Lindbergh,Lindbergh,0,0.3330,0.0000,0.0000,0.2727,0.8571,0.8722,0.0000,0.7500,0.0000
137,B,0.3963,Gladius,Gladius,0,0.4919,0.1480,0.0000,0.0909,1.0000,0.7687,1.0000,0.5000,0.0000
138,B,0.3960,Kouzuki_Oden,Kouzuki Oden,0,0.5222,0.1480,0.0000,0.1818,0.7143,0.0000,0.0000,1.0000,1.0000
139,B,0.3959,Hajrudin,Hajrudin,1,0.6165,0.2961,0.1966,0.3636,0.8571,0.0000,0.0000,0.7500,0.0000
140,B,0.3955,Blueno,Blueno,1,0.5921,0.2346,0.1966,0.2727,0.8571,0.0000,1.0000,0.7500,0.0000
141,B,0.3952,Cancer,Cancer,0,0.2814,0.0000,0.0000,0.3636,0.2857,0.8926,0.0000,0.7500,0.0000
142,B,0.3947,Kouzuki_Momonosuke,Kouzuki Momonosuke,1,0.7136,0.4156,0.1966,0.3636,0.8571,0.0000,1.0000,0.3000,0.0000
143,B,0.3940,Nefertari_Cobra,Nefertari Cobra,1,0.5686,0.3437,0.1966,0.7273,0.8571,0.0000,0.0000,0.3000,0.0000
144,B,0.3939,Sasaki,Sasaki,0,0.4097,0.1480,0.0000,0.0909,1.0000,0.8901,1.0000,0.5000,0.0000
145,B,0.3918,Black_Maria,Black Maria,0,0.4010,0.1480,0.0000,0.0909,1.0000,0.8908,1.0000,0.5000,0.0000
146,B,0.3885,Kabu,Kabu,0,0.5405,0.2961,0.0000,0.3636,0.4286,0.0000,1.0000,0.7500,0.0000
147,B,0.3875,Jozu,Jozu,1,0.4919,0.2346,0.1966,0.5455,0.8571,0.0000,1.0000,0.5000,0.0000
148,B,0.3870,Pomsky,Pomsky,0,0.3468,0.0000,0.0000,0.0909,0.2857,0.8926,1.0000,0.7500,0.0000
149,B,0.3864,Bluegrass,Bluegrass,0,0.3330,0.0000,0.0000,0.0909,0.4286,0.8926,1.0000,0.7500,0.0000
150,B,0.3855,Machvise,Machvise,0,0.4766,0.1480,0.0000,0.0909,1.0000,0.7225,1.0000,0.5000,0.0000
151,B,0.3845,Wapol,Wapol,2,0.5769,0.2346,0.3115,0.5455,0.8571,0.0000,1.0000,0.3000,0.0000
152,B,0.3838,Cabaji,Cabaji,1,0.4819,0.1480,0.1966,0.5455,0.8571,0.0000,0.0000,0.7500,0.0000
153,B,0.3822,Gambia,Gambia,0,0.3330,0.0000,0.0000,0.2727,0.5714,0.8030,0.0000,0.7500,0.0000
154,B,0.3807,Napoleon,Napoleon,1,0.6824,0.3827,0.1966,0.3636,0.7143,0.0000,0.0000,0.5000,0.0000
155,B,0.3764,Urouge,Urouge,0,0.4010,0.1480,0.0000,0.3636,1.0000,0.8243,0.0000,0.3000,0.0000
156,B,0.3759,Masira,Masira,1,0.4010,0.1480,0.1966,0.3636,1.0000,0.7554,0.0000,0.3000,0.0000
157,B,0.3755,Hound,Hound,0,0.3007,0.0000,0.0000,0.0909,0.2857,0.8926,1.0000,0.7500,0.0000
158,B,0.3755,Urban,Urban,0,0.3007,0.0000,0.0000,0.0909,0.2857,0.8926,1.0000,0.7500,0.0000
159,B,0.3748,Jabra,Jabra,1,0.5439,0.1480,0.1966,0.2727,0.8571,0.0000,1.0000,0.7500,0.0000
160,B,0.3746,Gotti,Gotti,0,0.5439,0.1480,0.0000,0.1818,1.0000,0.8162,0.0000,0.3000,0.0000
161,B,0.3741,Vito,Vito,0,0.5405,0.1480,0.0000,0.1818,1.0000,0.8186,0.0000,0.3000,0.0000
162,B,0.3736,Lonz,Lonz,0,0.3178,0.0000,0.0000,0.1818,0.5714,0.8926,0.0000,0.7500,0.0000
163,B,0.3734,Doll,Doll,0,0.4010,0.0000,0.0000,0.0909,0.4286,0.8926,0.0000,0.7500,0.0000
164,B,0.3727,Hibari,Hibari,0,0.3178,0.1480,0.0000,0.0909,1.0000,0.8518,0.0000,0.7500,0.0000
165,B,0.3716,Vinsmoke_Judge,Vinsmoke Judge,0,0.5405,0.1480,0.0000,0.2727,0.8571,0.0000,0.0000,1.0000,0.0000
166,B,0.3707,Koala,Koala,0,0.5182,0.2346,0.0000,0.4545,0.7143,0.0000,0.0000,0.7500,0.0000
167,B,0.3706,Kin'emon,Kin'emon,3,0.7444,0.0000,0.3931,0.3636,0.8571,0.0000,1.0000,0.3000,0.0000
168,B,0.3698,Foxy,Foxy,1,0.4010,0.1480,0.1966,0.1818,1.0000,0.7573,1.0000,0.3000,0.0000
169,B,0.3693,Mikita,Mikita,1,0.5371,0.1480,0.1966,0.2727,1.0000,0.7055,1.0000,0.0000,0.0000
170,B,0.3676,Kuroobi,Kuroobi,1,0.4655,0.1480,0.1966,0.2727,1.0000,0.7136,0.0000,0.3000,0.0000
171,B,0.3667,Perona,Perona,0,0.5298,0.1480,0.0000,0.6364,0.8571,0.0000,1.0000,0.3000,0.0000
172,B,0.3657,Viola,Viola,1,0.5847,0.1480,0.1966,0.3636,0.8571,0.0000,1.0000,0.5000,0.0000
173,B,0.3656,Marianne,Marianne,1,0.5335,0.1480,0.1966,0.3636,1.0000,0.7657,0.0000,0.0000,0.0000
174,B,0.3651,Ginny,Ginny,0,0.3594,0.0000,0.0000,0.0909,0.8571,0.8495,0.0000,0.7500,0.0000
175,B,0.3643,Shoujou,Shoujou,0,0.3817,0.1480,0.0000,0.3636,1.0000,0.7754,0.0000,0.3000,0.0000
176,B,0.3627,Lao_G,Lao G,0,0.4596,0.1480,0.0000,0.0909,1.0000,0.7989,0.0000,0.5000,0.0000
177,B,0.3623,Brannew,Brannew,0,0.3330,0.0000,0.0000,0.4545,1.0000,0.8209,0.0000,0.3000,0.0000
178,B,0.3622,Curly_Dadan,Curly Dadan,1,0.4097,0.1480,0.1966,0.5455,1.0000,0.7072,0.0000,0.0000,0.0000
179,B,0.3618,Zeus,Zeus,0,0.6282,0.2346,0.0000,0.2727,0.7143,0.0000,0.0000,0.7500,0.0000
180,B,0.3602,Baby_5,Baby 5,0,0.5628,0.2346,0.0000,0.1818,0.8571,0.0000,1.0000,0.7500,0.0000
181,B,0.3593,Drophy,Drophy,0,0.4470,0.1480,0.0000,0.3636,1.0000,0.7333,1.0000,0.0000,0.0000
182,B,0.3590,Charlotte_Pudding,Charlotte Pudding,0,0.5628,0.2346,0.0000,0.3636,0.8571,0.0000,1.0000,0.5000,0.0000
183,B,0.3568,Bepo,Bepo,0,0.6081,0.0000,0.0000,0.4545,1.0000,0.3259,0.0000,0.3000,0.0000
184,B,0.3568,Mozambia,Mozambia,0,0.2005,0.0000,0.0000,0.2727,0.2857,0.8926,0.0000,0.7500,0.0000
185,B,0.3554,Stussy,Stussy,0,0.5057,0.1480,0.0000,0.2727,0.8571,0.0000,1.0000,0.7500,0.0000
186,B,0.3549,Bomba,Bomba,0,0.5505,0.2346,0.0000,0.3636,0.4286,0.0000,0.0000,0.7500,0.0000
187,B,0.3548,Dellinger,Dellinger,0,0.4655,0.1480,0.0000,0.0909,1.0000,0.7364,0.0000,0.5000,0.0000
188,B,0.3546,Bian,Bian,0,0.4870,0.1480,0.0000,0.3636,0.1429,0.0000,1.0000,0.7500,0.0000
189,B,0.3544,Jaguar_D._Saul,Jaguar D. Saul,0,0.5142,0.2346,0.0000,0.3636,0.8571,0.0000,0.0000,0.7500,0.0000
190,B,0.3542,Dalton,Dalton,2,0.4766,0.0000,0.3115,0.6364,0.8571,0.0000,1.0000,0.3000,0.0000
191,B,0.3535,Red_King,Red King,0,0.3330,0.0000,0.0000,0.0909,0.2857,0.8926,0.0000,0.7500,0.0000
192,B,0.3524,Dalmatian,Dalmatian,0,0.2328,0.0000,0.0000,0.1818,0.5714,0.8926,0.0000,0.7500,0.0000
193,B,0.3512,Maynard,Maynard,0,0.3007,0.0000,0.0000,0.0909,0.5714,0.8926,0.0000,0.7500,0.0000
194,B,0.3504,Coribou,Coribou,1,0.4470,0.0000,0.1966,0.1818,1.0000,0.8495,0.0000,0.3000,0.0000
195,B,0.3503,Gem,Gem,1,0.5261,0.1480,0.1966,0.1818,1.0000,0.7183,1.0000,0.0000,0.0000
196,B,0.3467,Hototogisu,Hototogisu,0,0.2328,0.0000,0.0000,0.1818,0.2857,0.8926,0.0000,0.7500,0.0000
197,B,0.3467,Rockstar,Rockstar,0,0.2591,0.0000,0.0000,0.3636,0.5714,0.8181,0.0000,0.5000,0.0000
198,B,0.3463,Sarquiss,Sarquiss,1,0.4010,0.0000,0.1966,0.2727,1.0000,0.7778,0.0000,0.3000,0.0000
