id,jname,rname,ename,first,affiliation,occupation,origin,epithet,status,age,birth,height,blood type,bounty,jva,Odex eva,4kids eva,Funi eva,liveaction,residence,alias,age2,dfname,dfename,dfmeaning,dftype,birthname,dfname2,dfename2,dfmeaning2,dftype2,size,weight,doriki,cp9key,zombie number,gladiator number
Nami,['ナミ'],['Nami'],['Nami'],"['Chapter 8', 'Episode 1Chapter 1 (cover)']","['Straw Hat Pirates', 'Straw Hat Grand Fleet', 'Arlong Pirates (defected)', 'Ganzack Pirates (movie, former)', 'Golden Lion Pirates (movie, former)', 'Ninja-Pirate-Mink-Samurai Alliance (disbanded)']","['Navigator', 'Senior Officer', 'Thief', 'Pirate Officer (Arlong Pirates, former)', 'Kunoichi (temporary)']",['East Blue (Conomi Islands)'],['Cat Burglar'],['Alive'],"['18 (debut)', '20 (after timeskip)']",['July 3rd'],"['169 cm (5\'7"") (debut)', '170 cm (5\'7"") (after timeskip)']",['X'],"['366000000', '66000000', '16000000']","['Akemi Okamura', 'Wakana Yamazaki (Episode 70–78)', 'Megumi Toyoguchi (OVA)']","['Alison Lestor (Episode 1–52)', 'Chio Su-Ping (Episode 53–67)', 'Cindy Creekmore (Episode 68+)']",['Kerry Williams'],['Luci Christian'],"['Emily Rudd', 'Lily Fisher (young)', 'Sophie Ellenbogen (toddler)']","['Cocoyasi Village (former)', 'Weatheria (former, temporary)']","['""Namizo""', '""O-Nami""']",,,,,,,,,,,,,,,,
Makino,['マキノ'],['Makino'],['Makino'],"['Chapter 1', 'Episode 4']",['Partys Bar'],"['Bar Owner', 'Bartender']",['East Blue (Foosha Village)'],,['Alive'],"['19 (debut)', '29 (pre-timeskip)31 (after timeskip)']",['February 23rd'],"['166 cm (5\'5"")']",['S'],,['Makiko Ohmoto'],,['Tara Sands'],['Gwendolyn Lau'],,['Foosha Village'],,,,,,,,,,,,,,,,,
Woop_Slap,['ウープ・スラップ'],['Ūpu Surappu'],['Woop Slap'],"['Chapter 1', 'Episode 4']",['Foosha Village'],['Mayor'],['East Blue (Goa Kingdom)'],,['Alive'],,['February 28th'],,,,"['Shigeru Chiba (Episode 4, Episodes 497 - 505, Episode 0),', 'Takeshi Aono (Episode 45),', 'Keiichi Sonobe (Episode 324, Episode of Luffy, Episode of East Blue, Episode 878+)']",['Joseph Murray'],,['Barry Yandell'],,['Foosha Village'],,,,,,,,,,,,,,,,,
Gyoru,['ギョル'],['Gyoru'],"['Gyoll (WT100)', 'Gyoru (Live-Action)']","['Chapter 1', 'Episode 45']",,['Fishmonger'],['East Blue (Goa Kingdom)'],,['Alive'],,['March 7th'],,,,,,,,,['Foosha Village'],,,,,,,,,,,,,,,,,
Chicken,['チキン'],['Chikin'],['Mrs. Chicken'],"['Chapter 1', 'Episode 505']",,['Fishmonger'],['East Blue (Goa Kingdom)'],,['Alive'],,['February 8th'],,,,,,,,,['Foosha Village'],,,,,,,,,,,,,,,,,
Anjo,['アンジョウ'],['Anjō'],['Anjo'],"['Chapter 1', 'We Are!']",,,['East Blue'],,['Alive'],,['January 1st'],,,,,,,,,,,,,,,,,,,,,,,,,,
Lord_of_the_Coast,['近海の主'],['Kinkai no Nushi'],"['""Local Sea Monster""', 'Master of the Near Sea (video games)', 'Lord of the Coast (live-action series)']","['Chapter 1', 'Episode 4']",,"[""Foosha Village's local Sea King""]",['East Blue'],,['Alive'],,['September 14th'],,,,,,,,,,,,,,,,,,,,,,,,,,
Higuma,['ヒグマ'],['Higuma'],['Higuma'],"['Chapter 1', 'Episode 4']",['Higuma Bandits'],['Bandit Leader'],['East Blue'],,['Deceased'],,['November 18th'],"['190 cm (6\'3"")']",['X'],['8000000'],"['Yukimasa Kishino', 'Yasuhiko Tokuyama (Grand Battle! Rush!)']",,['Matt Hoverman'],['Kyle Hebert'],['Tamer Burjaq'],,,['46'],,,,,,,,,,,,,,,
Mikio_Itoo,['MIKIO ITOO'],['Mikio Itū'],['Mikio Itoo'],['Chapter 1'],,,['East Blue'],,['Alive'],,['March 26th'],,,['¥1000000'],,,,,,,,,,,,,,,,,,,,,,,
Alvida,['アルビダ'],['Arubida'],['Alvida'],"['Chapter 2', 'Episode 1']","['Cross Guild', ""Buggy's Delivery, Buggy and Alvida Alliance"", 'Buggy Pirates (Acting Captain, temporarily)', 'Alvida Pirates (formerly)']","['Pirate Captain', '']",['East Blue'],"['""Iron Mace""']",['Alive'],"['25 (debut)', '27 (after timeskip)']",['March 14th (Beauty Day)'],"['198 cm (6\'6"")']",['S'],['5000000'],"['Yōko Matsuoka', 'Yuko Tachibana (Grand Battle! Rush)']",['Alison Lestor'],['Kathleen Delaney'],['Laurie Steele'],['Ilia Isorelýs Paulino'],"['Karai Bari Island', 'Goat Island (former)']",,,['Sube Sube no Mi'],"['Slip-Slip Fruit (Viz, 4Kids)', 'Smooth-Smooth Fruit (Funimation)']","['Smooth, fat in cells, young and slippery']",['Paramecia'],,,,,,,,,,,
Heppoko,['ヘッポコ'],['Heppoko'],['Heppoko'],"['Chapter 2', 'Episode 1']",['Alvida Pirates'],['Pirate'],['East Blue'],,['Alive'],,['September 2nd'],,,,['Hiroshi Kamiya'],,,['Jerome Bethea'],['Rendani Mufamadi'],['Goat Island'],,,,,,,,,,,,,,,,,
Peppoko,['ペッポコ'],['Peppoko'],['Peppoko'],"['Chapter 2', 'Episode 1']",['Alvida Pirates'],['Pirate'],['East Blue'],,['Alive'],,['September 2nd'],,,,['Nobuhiko Kazama'],,,['Chris Burnett'],,['Goat Island'],,,,,,,,,,,,,,,,,
Poppoko,['ポッポコ'],['Poppoko'],['Poppoko'],"['Chapter 2', 'Episode 1']",['Alvida Pirates'],['Pirate'],['East Blue'],,['Alive'],,['September 2nd'],,,,['Tetsu Inada (稲田 徹)'],,,['Phil Parsons'],,['Goat Island'],,,,,,,,,,,,,,,,,
Koby,['コビー'],['Kobī'],"['Koby (VIZ, Odex),', 'Coby (Funimation, 4Kids)']","['Chapter 2', 'Episode 1']","['Marines (SWORD), Marine 153rd Branch (former)', 'Alvida Pirates (defected)']","['Marine Captain', 'Master Chief Petty Officer (promoted), Chore Boy (promoted)', 'Pirate Ship Caretaker (former)']",['East Blue'],"['""Hero""']",['Alive'],"['16 (debut)', '18 (after timeskip)']",['May 13th'],"['167 cm (5\'6"")']",['F'],"['★★★★★', '(500000000)']",['Mika Doi'],['Chio Su-Ping (Episodes 1-67)'],['Kayzie Rogers'],"['Leah Clark (Episode 1-69)', 'Micah Solusod (Episode 313+)']",['Morgan Davies'],"['Shells Town (former)', 'Goat Island (former)']",,,,,,,,,,,,,,,,,
Roronoa_Zoro,['ロロノア・ゾロ'],['Roronoa Zoro'],"['Roronoa Zoro (Uncut dub, Early VIZ manga)', 'Roronoa Zolo (Edited dub, VIZ Media, 4Kids)']","['Chapter 3', 'Episode 1']","['Straw Hat Pirates', 'Straw Hat Grand Fleet', 'Shimotsuki Family (descended)', 'Ninja-Pirate-Mink-Samurai Alliance (disbanded)']","['Swordsman', 'Pirate', 'Crew Combatant', 'Senior Officer', 'Rōnin (temporary)', 'Bounty Hunter (former)']",['East Blue'],"['""Pirate Hunter Zoro""']",['Alive'],"['19 (debut)', '21 (after timeskip)']",['November 11th'],"['178 cm (5\'10"") (debut)', '181 cm (5\'11"") (after timeskip)']",['XF'],"['1111000000', '320000000', '120000000', '60000000']","['Kazuya Nakai', 'Megumi Urawa (young)', 'Wataru Takagi (OVA)']",['Brian Zimmerman'],"['Marc Diraison', 'Andrew Rannells (young)']","['Christopher R. Sabat', 'Brina Palencia (young)', 'Cynthia Cranz (young) (Episode 2)', 'Aaron Dismuke (young) (Unlimited Adventure)']","['Mackenyu', 'Maximilian Lee Piazza (young)']","['Shimotsuki Village (former)', 'Kuraigana Island (former, temporary)']","['""Zoro-juurou""']",,,,,,,,,,,,,,,,
Morgan,['モーガン'],['Mōgan'],['Morgan'],"['Chapter 4', 'Episode 2']","['Marines (153rd Branch) (former, defected)']","['Captain (former)', 'Lieutenant Commander (former)', 'Chief Petty Officer (former)']",,['Axe-Hand Morgan'],['Alive'],"['42 (debut)', '44 (after timeskip)']",['April 13th'],"['285 cm (9\'4"")']",['XF'],,['Banjō Ginga'],['Jamie Meldrum'],['David Brimmer'],['Brett Weaver'],['Langley Kirkwood'],['Shells Town (former)'],,,,,,,,,,,,,,,,,
Helmeppo,['ヘルメッポ'],['Herumeppo'],['Helmeppo'],"['Chapter 3', 'Episode 2']","['Marines (Headquarters', 'SWORD) (formerly 153rd Branch)']","['Lieutenant Commander,', 'Chief Petty Officer (promoted)', 'Chore Boy (promoted)']",,,['Alive'],"['20 (debut)', '22 (after timeskip)']",['July 16th'],"['179 cm (5\'10"")']",['S'],,['Kōichi Nagano'],['Brian Zimmerman'],['Sean Schemmel'],"['Troy Baker (Episode 2-3, 280)', 'Mike McFarland (Episode 68+)']",['Aidan Scott'],['Shells Town (former)'],,,,,,,,,,,,,,,,,
Rika,['リカ'],['Rika'],['Rika'],"['Chapter 3', 'Episode 2']",['Marine 153rd Branch'],['Waitress'],['East Blue'],,['Alive'],,['June 18th'],,,,['Emi Uwagawa'],['Alison Lestor'],['Lisa Ortiz'],['Kate Oxley'],['Kamdynn Gary'],['Shells Town'],,,,,,,,,,,,,,,,,
Soro,['ソーロ'],['Sōro'],['Solo'],"['Chapter 3', 'Episode 2']",['Helmeppo'],['Pet'],['East Blue'],,['Deceased'],,['November 11th'],,,,,,,,,['Shells Town'],,,,,,,,,,,,,,,,,
Rokkaku,['ロッカク'],['Rokkaku'],['Rokkaku'],"['Chapter 4', 'Episode 2']",['Marines (153rd Branch)'],['Marine Lieutenant Junior Grade'],['East Blue'],,['Alive'],,['June 19th'],,,,['Akira Murakami'],,,['Greg Dulcie'],,['Shells Town'],,,,,,,,,,,,,,,,,
Ukkari_(Character),['ウッカリー'],['Ukkarī'],"['Carelesso (WT100)', 'Ukkari (Live-Action)']","['Chapter 4', 'Episode 2']",['Marines (Marine 153rd Branch)'],['Marine Seaman Recruit'],['East Blue'],,['Alive'],,['February 17th'],,,,,,,,['Richard Wright-Firth'],['Shells Town'],,,,,,,,,,,,,,,,,
Ririka,['リリカ'],['Ririka'],['Ririka'],"['Chapter 4', 'Episode 2']",,['Bartender'],['East Blue'],,['Alive'],,['November 15th'],,,,['Yukari Hikida'],,,['Cynthia Cranz'],['Nicole Fortuin'],['Shells Town'],,,,,,,,,,,,,,,,,
Kuina,['霜月くいな'],['Shimotsuki Kuina'],['Shimotsuki Kuina'],"['Chapter 5', 'Episode 2']",['Shimotsuki Family'],['Trainee Swordsman'],['East Blue (Shimotsuki Village)'],,['Deceased'],,['September 17th'],"['150 cm (4\'11"")']",['S'],,['Machiko Toyoshima'],['Chio Su-Ping'],['Priscilla Everett'],"['Monica Rial', 'Laura Bailey (Unlimited Adventure)']",['Audrey Cymone'],['Shimotsuki Village'],,['11'],,,,,,,,,,,,,,,
Koushirou,['霜月コウシロウ'],['Shimotsuki Kōshirō'],"['Koshiro', 'Koushirou (Live-Action)']","['Chapter 5', 'Episode 19']",['Shimotsuki Family'],['Dojo Master'],['East Blue'],,['Alive'],"['40 (debut)', '49 (pre-timeskip)', '51 (after timeskip)']",['May 4th'],"['184 cm (6\'0½"")']",['S'],,"['Unshō Ishizuka', 'Kenji Nomura (Episode 1030-)']",,['Wayne Grayson'],['Chuck Huber'],['Nathan Castle'],,,,,,,,,,,,,,,,,,
Buggy,['バギー'],['Bagī'],['Buggy'],"['Chapter 9', 'Episode 4']","['Cross Guild', ""Buggy's Delivery"", '(Unknown status)?Buggy Pirates', 'Buggy and Alvida Alliance', 'Four Emperors', 'Seven Warlords of the Sea', '(former)', 'Roger Pirates', '(former)', 'Impel Down (former)']","['Pirate Captain', 'Emperor', 'Figurehead President of Cross Guild', ""Chairman of Buggy's Delivery"", '(former)', 'Warlord of the Sea', '(former)', 'Apprentice', '(former)', 'Prisoner of the Great Prison (former)']",['Grand Line'],"['""Buggy the Clown""', '""Buggy the Star Clown""']",['Alive'],"['37 (debut)', '39 (after timeskip)']",['August 8th'],"['192 cm (6\'4"") (age 39)', '130 cm (4\'3"") (age 13)']",['F'],['318900000015000000'],"['Shigeru Chiba', 'Subaru Kimura (young', 'Episode 959-Present)']",['Brian Zimmerman'],['David Wills'],"['Mike McFarland', 'Kyle Igneczi (young', 'Episode 959-Present)']",['Jeff Ward'],"['Karai Bari Island', 'Orange Town (former)']",,,['Bara Bara no Mi'],['Chop-Chop Fruit'],"['Scattered', 'in pieces']",['Paramecia'],,,,,,,,,,,
Ripper,['リッパー'],['Rippā'],['Ripper'],"['Chapter 7', 'Episode 3']","['Marines, Marine 153rd Branch']","['Marine Commander', 'Base Commander']",['East Blue'],,['Alive'],,['June 13th'],,,,"['Yoshiyuki Kōno', 'Tetsu Inada (Ep. 68)']",,['Frank Frankson'],['Greg Dulcie'],,['Shells Town'],,,,,,,,,,,,,,,,,
Tightrope_Walking_Funan_Bros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superhuman_Domingos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinky,['ピンキー'],['Pinkī'],['Pinky'],"['Chapter 8', 'Episode 4']",,,['East Blue'],"['""Monstrous Bird""']",['Alive'],,['September 29th'],,,,,,,,,,,,,,,,,,,,,,,,,,
Mohji,['モージ'],['Mōji'],"['Mohji', 'Morji (Odex)']","['Chapter 9', 'Episode 6']","['Cross Guild', 'Buggy and Alvida Alliance', 'Buggy Pirates']","['Pirate', 'First Mate']",['East Blue'],"['Beast Tamer', 'Beast Breaker']",['Alive'],"['27 (debut)', '29 (after timeskip)']",['October 1st'],"['197 cm (6\'6"")']",['S'],,['Shigenori Sōya'],['Jamie Meldrum'],['Tom Souhrada'],['Chuck Huber'],,['Karai Bari Island'],,,,,,,,,,,,,,,,,
Richie,['リッチー'],['Ritchī'],['Richie'],"['Chapter 9', 'Episode 6']","['Cross Guild', 'Buggy Pirates']","['Pet', 'Captain (former)']",,,['Alive'],,['July 23rd'],,,,['Tetsu Inada'],,,['Mike McFarland'],,['Karai Bari Island'],,,,,,,,,,,,,,,,,
Cabaji,['カバジ'],['Kabaji'],['Cabaji'],"['Chapter 9', 'Episode 7']","['Cross Guild', 'Buggy and Alvida Alliance, Buggy Pirates']","['Pirate', 'Chief of Staff', 'Acrobat', 'Swordsman']",['East Blue'],"['""Cabaji the Acrobat""']",['Alive'],"['32 (debut)', '34 (after timeskip)']",['September 8th'],"['208 cm (6\'10"")']",['X'],,['Endō Moriya'],['Joseph Murray'],['J. Ward Regan'],['Greg Ayres'],['Sven Ruygrok'],['Karai Bari Island'],,,,,,,,,,,,,,,,,
Domo-kun_and_Nnke-kun,"['どーも君, ンーケ君']","['Dōmo-kun, Nnke-kun']","['Domo-kun, Nnke-kun']","[""God's Gift for the Future"", 'Chapter 9']",,,,,['Alive'],,['January 30th (Domo-kun)'],,,,,,,,,,,,,,,,,,,,,,,,,,
Acrobatic_Fuwas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boodle,['ブードル'],['Būdoru'],['Boodle'],"['Chapter 12', 'Episode 6']",,['Mayor'],['East Blue (Organ Islands)'],,['Alive'],"['73 (debut)', '75 (after timeskip)']",['January 16th'],"['172 cm (5\'8"")']",['F'],,"['Jōji Yanami', 'Hiroshi Iwasaki (Live-Action Series)']",['Joseph Murray'],['Michael Sinterniklaas'],['Mark Stoddard'],['Lindsay Reardon'],['Orange Town'],,,,,,,,,,,,,,,,,
Chouchou,['シュシュ'],['Shushu'],"['Chouchou', 'Shushu (WT100)']","['Chapter 12', 'Episode 6']",['Hocker'],"['Pet', 'Pet Shop Keeper']",['East Blue (Organ Islands)'],,['Alive'],"['12 (debut)', '14 (after timeskip)']",['November 22nd'],"['40 cm (1\'4"")']",,,['Chieko Atarashi'],,,['Christopher Bevins'],,['Orange Town'],,,,,,,,,,,,,,,,,
Hocker,['ホッカー'],['Hokkā'],['Hocker'],"['Chapter 12', 'Episode 6']",['Chouchou'],['Pet Shop Owner'],['East Blue (Orange Town)'],,['Deceased'],,['May 17th'],,,,['Yasuhiko Kawazu'],,,['Jerry Russell'],,['Orange Town'],,,,,,,,,,,,,,,,,
Poro,['ポロ'],['Poro'],['Poro'],"['Chapter 14', 'Episode 8']",['Orange Town'],['Bookstore Owner'],['East Blue (Orange Town)'],,['Alive'],,['May 11th'],,,,,,,,,['Orange Town'],,,,,,,,,,,,,,,,,
Silvers_Rayleigh,['シルバーズ・レイリー'],['Shirubāzu Reirī'],['Silvers Rayleigh'],"['Chapter 19', 'Episode 8']",['Roger Pirates (former)'],"['Coating Mechanic (current)', 'First Mate (former)', 'Pirate (former)']",,"['""Right Hand of the Pirate King""', '""Dark King""']",['Alive'],"['76 (debut)', '78 (after timeskip)']",['May 13th'],"['188 cm (6\'2"")']",['XF'],['Unknown'],"['Keiichi Sonobe', 'Kazuyuki Sogabe (young', 'Episode 8)']",,['David Wills'],"['Bruce Carey', 'Bradford Hutson (young)']",,['Sabaody Archipelago'],,,,,,,,,,,,,,,,,
Scopper_Gaban,['スコッパー・ギャバン'],['Sukoppā Gyaban'],['Scopper Gaban'],"['Chapter 19', 'Episode 0']",['Roger Pirates (former)'],['Pirate'],,,['Unknown'],,,,,,['Toshiyuki Morikawa'],,,['Ian Sinclair'],,,,,,,,,,,,,,,,,,,
Gaimon,['ガイモン'],['Gaimon'],['Gaimon'],"['Chapter 22', 'Episode 18']",,"['Guardian of the Island of Rare Animals', 'Pirate (former)']",['East Blue'],,['Alive'],"['43 (debut)', '45 (after timeskip)']",['August 5th'],"['130 cm (4\'3"")']",['X'],,['Toru OhiraChafurin (One Piece Bounty Rush)'],['Joseph Murray'],['Frederick B. Owens'],['Jonathan C. Osborne'],,['Island of Rare Animals'],,,,,,,,,,,,,,,,,
Cocox,['ココックス'],['Kokokkusu'],['Buckox'],"['Chapter 22', 'Episode 18']",['Animals of the Island of Rare Animals'],,['East Blue (Island of Rare Animals)'],,['Alive'],,['February 19th'],,,,['Kentarou Tone'],,['Dan Green'],,,['Island of Rare Animals'],,,,,,,,,,,,,,,,,
Usagihebi,['うさぎヘビ'],['Usagihebi'],['N/A'],"['Chapter 22', 'Episode 18']",['Animals of the Island of Rare Animals'],,,,['Alive'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionbuta,['ライオンブタ'],['Raionbuta'],['N/A'],"['Chapter 22', 'Episode 18']",['Animals of the Island of Rare Animals'],,,,['Alive'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirinkodanuki,['キリン子ダヌキ'],['Kirinkodanuki'],['N/A'],"['Chapter 22', 'Episode 18']",['Animals of the Island of Rare Animals'],,,,['Alive'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaya,['カヤ'],['Kaya'],['Kaya'],"['Chapter 23', 'Episode 9']",,['Medical student'],['East Blue (Gecko Islands)'],,['Alive'],"['17 (debut)', '19 (after timeskip)']",['August 24th'],"['169 cm (5\'6"")']",['F'],,['Mariko Kouda'],['Chio Su-Ping'],['Tara Sands'],['Carrie Savage'],['Celeste Loots'],['Syrup Village'],,,,,,,,,,,,,,,,,
Kuro,['クロ'],['Kuro'],['Kuro'],"['Chapter 23', 'Episode 9']",['Black Cat Pirates'],"['Pirate Captain (former)', 'Butler (former)']",['East Blue'],"['""Kuro of a Hundred Plans""']",['Alive'],"['33 (debut)', '35 (after timeskip)']",['April 22nd'],['207 cm (6’9”)'],['X'],['16000000'],['Kōichi Hashimoto'],['Joseph Murray'],['Gary Mack'],['Kent Williams'],['Alexander Maniatis'],['Syrup Village (former)'],"['""Klahadore""']",,,,,,,,,,,,,,,,
Mornin,['モーニン'],['Mōnin'],['Mornin'],"['Chapter 23', 'Episode of East Blue']",,['Mayor'],['East Blue (Syrup Village)'],,['Alive'],,['October 15th'],,,,,,,['Kyle Phillips'],['Nicky Rebelo'],['Syrup Village'],,,,,,,,,,,,,,,,,
Usopp,['ウソップ'],['Usoppu'],['Usopp'],"['Chapter 23', 'Episode 8']","['Straw Hat Pirates', 'Straw Hat Grand Fleet', 'Usopp Pirates (disbanded)', 'Ninja-Pirate-Mink-Samurai Alliance (disbanded)']","['Sniper', 'Senior Officer', 'Toad Oil Salesman (temporary)']",['East Blue (Gecko Islands)'],"['""King of Snipers""', '""God""', '""Hana Arashi""']",['Alive'],"['17 (debut)', '19 (after timeskip)']","[""April 1st (April Fool's Day)""]","['174 cm (5\'9"") (debut)', '176 cm (5\'9"") (after timeskip)']",['S'],"['500000000', '200000000', '30000000']",['Kappei Yamaguchi'],"['Jamie Meldrum (Episodes 9-53)', 'Chuck Powers (Episodes 54+)']",['Jason Griffith'],['Sonny Strait'],"['Jacob Romero Gibson', 'Kevin Saula (young)']","['Syrup Village (former)', 'Boin Archipelago (former, temporary)']","['""Sogeking""', '""Usoland""', '""Uso-hachi""']",,,,,,,,,,,,,,,,
Piiman,['ピーマン'],['Pīman'],"['Pepper', 'Pieman (Odex)']","['Chapter 23', 'Episode 9']",['Usopp Pirates (disbanded)'],['Pretend Pirate (former)'],['East Blue (Gecko Islands)'],,['Alive'],"['9 (debut)', '11 (after timeskip)']",['April 9th'],"['120 cm (3\'11"")']",['XF'],,"['Haruhi Terada', 'Miyuki Kawasho (Episode 291+)']",['Brian Zimmerman'],['Kevin Kolack'],"['Cherami Leigh', 'Laura Bailey (Unlimited Adventure)']",,['Syrup Village'],,,,,,,,,,,,,,,,,
