chapter,character,note
390,Paulie,
391,Oimo,
391,Kumadori,
391,Roji,flashback
392,Nico_Olvia,shadowed
393,Nico_Robin,flashback
394,Tsumonsieur_Kamaya,
394,Jaguar_D._Saul,
395,Clover,
397,Sakazuki,
398,Nico_Robin,flashback
398,Kaku,
398,Fukurou,cover & flashback
399,Usopp,
399,Baskerville,K.O.
399,Mikita,cover
400,Tom,flashback
404,Nico_Robin,
404,Hattori,
405,Kumadori,
406,Franky,cover
406,Zala,cover
412,Daz_Bonez,cover
412,Galdino,cover
413,Daz_Bonez,cover
418,Oimo,image
418,Fukurou,image
419,Spandine,flashback
420,Kashii,
424,Footbianco,K.O.
426,Very_Good,
429,Oimo,
429,Footbianco,K.O.
430,Sanji,
430,Iceburg,
433,Oimo,
435,Dago,
436,Ottoland,
436,Yamenahare,
442,Nico_Robin,cover
445,Usopp,silhouette
446,Nico_Robin,
446,Absalom,
448,Nico_Robin,image
450,Galaxy,"cover, flashback"
453,Nico_Robin,Zombie
454,Brook,
455,Monkey_D._Luffy,
456,Monkey_D._Luffy,K.O.
456,Jigoro,K.O.
457,Hogback,
458,Spacey,cover
459,Ryuma,image
466,Brook,cover
470,Brook,cover
471,Franky,Zombie
472,Franky,flashback
472,Spacey,cover
476,Usopp,K.O.
481,Nami,
482,Sanji,
482,Franky,
487,Mizuta_Madaisuki,cover
489,Nami,
494,Hatchan,
497,Nami,Image
498,Eustass_Kid,
498,Potato,cover
499,Urouge,
499,Gyogyo,cover
501,Scratchmen_Apoo,
502,Lacuba,
503,Monkey_D._Luffy,
504,Pascia,
504,Stansen,
505,Rob_Lucci,cover
506,Motobaro,K.O.
508,Kalifa,cover
509,Tony_Tony_Chopper,
513,Candy,cover
514,Belladonna,
518,Boa_Hancock,
521,Kikyo,flashback
522,Salome,
522,Enishida,"cover, silhouette"
522,Kalifa,"cover, silhouette"
528,Boa_Hancock,
528,Minotaurus,silhouette
534,Hannyabal,
537,Usakkov,
538,Domino,
539,Galdino,image
540,Magellan,
541,Jinbe,cover page
542,Portgas_D._Ace,
543,Daz_Bonez,
543,Inazuma,flashback
545,Minozebra,
545,Bentham,
546,Crocodile,cover story
547,Daz_Bonez,K.O.
549,Inazuma,K.O.
550,Tsuru,
552,Finamore,flashback
553,Speed_Jiru,
553,Helmeppo,
554,Oars_Jr.,not fully revealed
555,Boa_Hancock,cover page
556,Jinbe,disbanded
559,Islewan,
560,Edward_Newgate,
562,Edward_Newgate,
562,Curiel,
568,Sakazuki,
568,Monkey_D._Garp,
569,Boa_Hancock,
570,Dracule_Mihawk,
570,Crocodile,disbanded
575,Portgas_D._Ace,deceased
575,Fossa,
576,Van_Augur,
576,Sengoku,
577,Elmy,
578,Marco,
580,Epoida,K.O.
580,Building_Snake,
580,Salome,
581,Penguin,K.O.
581,Brownbeard,
584,Dogra,cover
584,Daz_Bonez,cover
586,Portgas_D._Ace,
589,Monkey_D._Luffy,
594,Tony_Tony_Chopper,
594,Wire,
595,Avalo_Pizarro,
596,Nico_Robin,"K.O., flashback"
596,Crocodile,"K.O., flashback"
598,Roronoa_Zoro,cover
599,Manjaro,
599,Ran,flashback
603,Silvers_Rayleigh,K.O.
609,Sanji,cover
610,Vander_Decken_IX,image
610,Kairen,cover
610,Magellan,flashback
613,Daruma,
613,Megalo,
616,Ikaros_Much,
616,Vander_Decken_IX,
619,Neptune,
621,Chew,
622,Fukaboshi,
623,Arlong,
623,Chew,
624,Macro,cover
624,Neptune,
626,Aladine,
626,Fukaboshi,
627,Aladine,flashback
628,Roronoa_Zoro,
631,Surume,
636,Tony_Tony_Chopper,
636,Franky,
638,Fukaboshi,flashback
639,Shirahoshi,cover
641,Monkey_D._Luffy,
643,Fukaboshi,
644,Kuroobi,flashback
647,Sanji,
648,Usopp,
649,Roronoa_Zoro,
650,Tony_Tony_Chopper,
650,Kuzan,flashback
652,Neptune,cover
655,Dragon_Number_Thirteen,
657,Tamagon,cover
660,Konbu,
661,Trafalgar_D._Water_Law,cover
662,Trafalgar_D._Water_Law,cover
663,Konbu,
664,Brownbeard,
665,Sanji,
665,Brook,cover
665,Ally,
667,Usopp,
668,Franky,
670,Sanji,
670,Caesar_Clown,
673,Monkey_D._Luffy,
673,Caesar_Clown,
675,Usopp,voice
675,Sind,
678,Nami,cover
681,Donquixote_Doflamingo,image
682,Sanji,
683,Nami,
683,Usopp,
684,Tony_Tony_Chopper,
687,Coribou,cover
687,Yarisugi,cover
689,Donquixote_Doflamingo,image
689,Brownbeard,
693,Monkey_D._Luffy,
693,Roronoa_Zoro,
693,Marshall_D._Teach,cover
694,Roronoa_Zoro,
696,Brownbeard,
696,Ginko,
699,Roronoa_Zoro,
699,Nami,
699,Scratchmen_Apoo,image
700,Monkey_D._Luffy,
702,Donquixote_Doflamingo,mentioned
702,Lao_G,cover
703,Viola,Gladiator
705,Brook,
705,Joseph,
706,Hajrudin,
706,Tank_Lepanto,
708,Bartolomeo,cover
708,Caribou,cover
711,Scotch,cover
711,Rampo,
717,Brook,cover
717,Trafalgar_D._Water_Law,
718,Kouzuki_Momonosuke,
719,Caribou,cover
720,Roronoa_Zoro,image
720,Cavendish,"voice, flashback"
720,Kyros,flashback
722,Baburu,cover
723,Baby_5,
725,Chinjao,
727,Nico_Robin,flashback
727,Donquixote_Doflamingo,flashback
728,Dellinger,flashback
728,Kin'emon,flashback
729,Baburu,cover
731,Bellamy,"cover, image"
731,Koala,
732,Cotton,
733,Orlumbus,K.O.
734,Suleiman,K.O.
735,Rebecca,
736,Pica,
738,Usopp,cover
739,Inhel,
741,Tony_Tony_Chopper,cover
743,Riku_Doldo_III,
743,Sai,cover
744,Usopp,
746,Dagama,
747,Monkey_D._Luffy,
748,Hajrudin,
749,Elizabello_II,cover
749,Dagama,cover
749,Jeet,
750,Baby_5,
750,Flapper,
751,Riku_Doldo_III,
751,Tank_Lepanto,
751,Sai,
751,Orlumbus,Fish-Man
751,Sabo,Fish-Man
752,Pica,
753,Boo,
754,Cavendish,
755,Kabu,
755,Bian,
756,Cavendish,flashback
756,Tank_Lepanto,flashback
763,Pica,
765,Trebol,
765,Diez_Barrels,voice
767,Lao_G,
768,Diamante,
769,Jinbe,cover
770,Machvise,
773,Cavendish,
774,Wadatsumi,cover
779,Kyros,
779,Maujii,
779,Koala,
782,Trebol,flashback
782,Mansherry,
782,Cotton,
783,Cavendish,
783,Bartolomeo,flashback
784,Kin'emon,
785,Monkey_D._Luffy,
786,Meadows,Fish-Man
787,Chao,
789,Roronoa_Zoro,
790,Monkey_D._Luffy,cover
793,Ethanbaron_V._Nusjuro,
793,Tank_Lepanto,
797,Farul,
798,Jeet,
799,Issho,
800,Sengoku,
801,Wicca,statue
802,Tony_Tony_Chopper,cover
803,Nico_Robin,
805,Surume,Cover
807,Kouzuki_Momonosuke,flashback
808,Jack,flashback
809,Concelot,flashback
810,Caesar_Clown,flashback
811,Wany,
816,Zambai,cover
817,Jack,
818,Tony_Tony_Chopper,
819,Monkey_D._Luffy,
820,Marshall_D._Teach,flashback
822,Miyagi,
828,Charlotte_Pudding,
829,Charlotte_Linlin,
833,Brook,cover
836,Nami,flashback
840,Vinsmoke_Reiju,flashback
840,Vinsmoke_Ichiji,flashback
841,Vinsmoke_Ichiji,flashback
844,Sugar,cover
845,Charlotte_Galette,
846,Charlotte_Counter,
847,Bomba,cover
848,Sanji,cover
850,Charlotte_Pudding,flashback
851,Charlotte_Linlin,
851,Charlotte_Pudding,
852,Tony_Tony_Chopper,cover
852,Nico_Robin,cover
852,Vinsmoke_Reiju,flashback
852,Vinsmoke_Niji,flashback
853,Vinsmoke_Reiju,flashback
858,Jinbe,flashback
859,Jinbe,
860,Charlotte_Compote,
861,Charlotte_Smoothie,
861,Prometheus,cover
861,Nekomamushi,cover
862,Charlotte_Nusstorte,
862,Charlotte_Kato,
863,Gotti,
863,Charlotte_Citron,
865,Vinsmoke_Yonji,flashback
866,Oimo,
866,Hajrudin,"flashback, cover"
867,Jorul,flashback
868,Charlotte_Smoothie,
868,Pedro,
871,Charlotte_Kanten,
871,Charlotte_Hachée,
872,Drug_Peclo,
872,Stussy,
873,Pekoms,
874,Charlotte_Mobile,
874,Tamago,
874,Napoleon,
876,Charlotte_Chiffon,
878,Roronoa_Zoro,cover
878,Charlotte_Katakuri,
879,Brook,
879,Zeus,
879,Chichilisia,cover
880,Charlotte_Brûlée,
882,Vinsmoke_Yonji,
884,Charlotte_Oven,
886,Nami,cover
887,Charlotte_Perospero,
888,Charlotte_Linlin,
888,Napoleon,flashback
891,Capone_Pez,
892,Tony_Tony_Chopper,
892,Charlotte_Chiffon,
892,Charlotte_Oven,
892,Leo,cover
893,Flapper,cover
894,Carrot,flashback
897,Charlotte_Montb,
898,Nami,
899,Charlotte_Chiffon,
901,Tony_Tony_Chopper,
901,Aladine,cover
902,Rabiyan,
903,Edward_Weevil,image
903,Hoe,
908,Couran,
909,Roddy,flashback
911,Sanji,flashback
912,Mihar,flashback
912,Tama,
916,Penguin,
919,Leo,cover
919,Orlumbus,cover
920,Sanji,flashback
920,Zunesha,flashback
921,Monkey_D._Luffy,flashback
921,Nico_Robin,flashback
925,Miyagi,
927,Toko,
931,Kikunojo,
932,Sarutobi,
933,Nico_Robin,
934,Daifugo,
939,Madilloman,flashback
942,Kurozumi_Orochi,flashback
943,Kouzuki_Hiyori,
943,Denjiro,"flashback, silhouette"
944,Monkey_D._Luffy,
944,Killer,
944,Kojuro,
945,Kouzuki_Hiyori,
946,Tsuru,cover
948,Hippan_Natte,
949,Nami,cover
950,Fujin,flashback
952,Charlotte_Linlin,cover
954,Nangi,silhouette
956,Charlotte_Chiffon,cover
956,Shirahoshi,
958,Gol_D._Roger,flashback
958,Hotei,
959,Charlotte_Chiffon,cover
959,Yatappe,flashback
961,Norinosuke,flashback
961,Mouthto_Mouthyan,cover
962,Vito,cover
967,Napoleon,image
970,Kouzuki_Toki,
971,Gatz,cover
972,Kouzuki_Hiyori,
975,Hawkman,cover
978,Fukurokuju,
979,Monkey_D._Luffy,flashback
979,Shachi,
979,King,
979,Kikunojo,
980,Nokokuwa_Police,silhouette
981,Carrot,
982,Tony_Tony_Chopper,
982,Marco,
982,Charlotte_Linlin,cover
983,Gotti,cover
984,Izou,
985,Nami,
985,Gangaru,
986,Izou,
986,Pound,cover
987,Monkey_D._Luffy,''cover''
989,Nami,
989,Hyougoro,cover
989,Pound,cover
990,Capone_Bege,cover
990,Koby,flashback
990,Hotei,silhouette
991,Zanki,silhouette
991,Hyougoro,
993,Capone_Bege,cover
993,Who's-Who,
993,Risky_Brothers,cover
994,Hamlet,
995,Ulti,
996,Hatcha,
996,Donquixote_Rosinante,flashback
996,Denjiro,
998,Jinbe,
999,Aggie_68,flashback
999,Queen,flashback
1000,Denjiro,
1008,Shinobu,
1011,Jinbe,cover
1015,Nami,
1015,Brook,
1015,Uni,
1016,Roronoa_Zoro,cover
1016,Tsugaru_Umi,
1017,Hamlet,
1017,Buggy,cover
1018,Nami,cover
1018,Speed,
1019,Sasaki,
1020,Nico_Olvia,illusion
1021,Koala,flashback
1022,Kouzuki_Oden,flashback
1022,Kin'emon,
1022,Mansherry,cover
1022,Cotton,cover
1024,Uzuki_Tempura,flashback
1028,Omasa,
1030,Nami,
1031,Inbi,
1036,Kikunojo,
1038,Fukurokuju,
1039,Trafalgar_D._Water_Law,
1040,Misery,
1041,Kurozumi_Orochi,
1042,Rabiyan,cover
1043,Kurosawa,
1044,Ethanbaron_V._Nusjuro,flashback
1045,Yamato,
1046,Kamakirigirl,"cover, silhouette"
1047,Hyougoro,
1049,King,flashback
1050,Kaidou,
1051,Onimaru,Wano
1051,Nekomamushi,cover
1052,Tristan,cover
1054,Raizo,
1055,Nami,
1055,Toko,
1056,Killer,
1056,Kin'emon,
1056,Nekomamushi,
1057,Kurozumi_Orochi,flashback
1058,Cabaji,cover
1058,Emporio_Ivankov,
1060,Franky,flashback
1060,Belo_Betty,
1060,Seki,flashback
1060,Nefertari_Cobra,flashback
1064,Jewelry_Bonney,image
1064,Van_Augur,cover
1064,Monkey_D._Dragon,voice
1065,Monster,cover
1065,Lilith,
1065,Joshu,inactive
1065,Iron_Giant,inactive
1066,Goldberg,flashback
1071,Kaku,cover
1071,Uta,cover
1072,Bartholomew_Kuma,cover
1074,Stussy,cover
1076,Nico_Robin,cover
1079,Reck,
1081,Roronoa_Zoro,cover
1081,Monkey_D._Garp,
1083,Usakkov,flashback
1083,Donquixote_Doflamingo,cover
1084,Rosward_Charlos,cover
1084,Fukaboshi,
1086,Sakazuki,flashback
1088,Shiryu,flashback
1088,Kuzan,cover
1088,Monkey_D._Luffy,cover
1089,Usopp,image
1089,Sentomaru,
1090,Roronoa_Zoro,
1090,Nefertari_Vivi,
1093,Nami,
1094,Tony_Tony_Chopper,
1094,Bluegrass,
1096,Gill_Bastar,
1099,Totts,
1100,Jaygarcia_Saturn,
1100,Monkey_D._Dragon,
1100,Conney,
1100,Monkey_D._Luffy,cover; fantasy
1101,Bartholomew_Kuma,
1102,Roronoa_Zoro,
1105,Inuarashi,cover
1107,Sanji,
1108,Brogy,
1108,Caribou,cover
1108,Hound,cover
1109,Topman_Warcury,
1109,Vegapunk,broadcast; flashback
1111,Franky,cover; image
1111,Shepherd_Ju_Peter,
1112,Shaka,broadcast
1113,Zeus,
1114,Vegapunk,broadcast
1115,Belo_Betty,broadcast
1115,Nefertari_Vivi,
1116,Crocodile,
1116,Toto,
1117,Kashii,
1117,Smoker,
1117,Prince_Grus,
1118,Bjorn,
1118,Sig,
1118,Doll,
1118,Rebecca,cover
1119,Atlas,
1120,Kashii,
1121,Dorry,
1121,Vegapunk,"flashback, broadcast"
1121,Peepley_Lulu,
1121,Caesar_Clown,
1122,Sanji,
1123,Franky,flashback
1123,Atlas,flashback
1124,Jinbe,
1126,Franky,
1126,Dorry,
1126,Marshall_D._Teach,
1126,Sanjuan_Wolf,
1126,Yamato,cover
1126,Bartholomew_Kuma,
1127,Roronoa_Zoro,
1128,Tony_Tony_Chopper,cover
1130,Nico_Robin,
1132,Colon,flashback
1137,Nami,
1138,Ylva,
1140,Roronoa_Zoro,
1141,Nami,
1141,Franky,
1142,Jaguar_D._Saul,Elbaph
1144,Jinbe,
1144,Ripley,
1144,Bjorn,
1145,Ulti,cover
1145,Bent,cover
1146,Hajrudin,cover
1147,Mag,
1149,Jinbe,cover
1149,Jaguar_D._Saul,
1149,Karin,
1150,Brook,
1150,Nerona_Imu,through Gunko
1151,Manmayer_Gunko,controlled by Imu
1152,Shanks,flashback
1152,Dorry,flashback
1157,Charlotte_Linlin,
1158,Taro,Roger Pirates
1158,Ochoku,
1160,Emporio_Ivankov,
1161,Gol_D._Roger,
1161,Franky,doll
1161,Dorry,doll
1162,Ganzui,
1164,Ganzui,
1164,Perona,cover
1165,Streusen,cover
1165,Mr._Momora,
1166,Charlotte_Linlin,cover
1166,Ida,
1166,Hajrudin,
1166,Eris,cover
1167,Shiki,
1168,Nerona_Imu,
1174,Ripley,
1174,Shepherd_Sommers,
1176,Nami,cover
1178,Rimoshifu_Killingham,
1179,Sanji,K.O.
1179,Jinbe,
1179,Nerona_Imu,
1179,Figarland_Garling,
6,Monkey_D._Luffy,Marine Rank
9,Domo-kun,
15,Roronoa_Zoro,
18,Boodle,K.O.
21,Poro,
22,Lionbuta,
25,Lucky_Roux,flashback
27,Nami,image
31,Sham,
33,Roronoa_Zoro,
35,Roronoa_Zoro,cover
35,Buggy,cover
35,Ninjin,
38,Monkey_D._Luffy,
39,Nami,cover
41,Shanks,cover
44,Sanji,
45,Roronoa_Zoro,shadowed
45,Usopp,shadowed
47,Zeff,cover
48,Usopp,cover
48,Gaimon,cover
50,Carne,mentioned only
50,Yosaku,
51,Usopp,cover
52,Krieg,
54,Monkey_D._Luffy,cover
56,Carne,
66,Krieg,cover
80,Roronoa_Zoro,
81,Nojiko,cover
82,Kuroobi,flashback
86,Arlong,K.O.
88,Nojiko,
89,Usopp,
90,Roronoa_Zoro,
94,Nako,
97,Roronoa_Zoro,
97,Nami,
97,Sanji,
98,Sapi,
102,Morgan,cover
103,Crocus,
104,Mr._9,
107,Misty,
109,Helmeppo,cover
113,Sanji,K.O
114,Usopp,cover
117,Dorry,
121,Karoo,
122,Roronoa_Zoro,K.O.
126,Roronoa_Zoro,cover
127,Smoker,voice only
131,Nami,
131,Tamanegi,cover
134,Kaya,cover
137,Sanji,
140,Roronoa_Zoro,cover
140,Nefertari_Vivi,cover
141,Hiriluk,flashback
144,Karoo,cover
145,Dalton,flashback
147,Wapol,
152,Nefertari_Vivi,cover
155,Karoo,cover
155,Miss_Tuesday,mentioned
159,Mashikaku,
165,Toto,
166,Nami,cover
171,Jango,cover
172,Smoker,cover
172,Kappa,
177,Crocodile,
179,Babe,cover
180,Bentham,
186,Monkey_D._Luffy,cover
189,Monkey_D._Luffy,flashback
189,Crocodile,
190,Goldfish_Princess,cover
196,Nefertari_Cobra,
198,Tony_Tony_Chopper,cover
200,Hatchan,cover
201,Sanji,cover
201,Nefertari_Cobra,
204,Crocodile,flashback
205,Koza,flashback
207,Roronoa_Zoro,cover
207,Nefertari_Vivi,flashback
209,Usopp,cover
209,Tansui,cover
210,Pappag,cover
213,Tony_Tony_Chopper,
215,Hatchan,cover
219,Camie,cover
220,Nami,
222,Van_Augur,
225,Sarquiss,
225,Lily,
229,Usopp,
229,Muret,
231,Nami,
231,Eddy,
231,Rivers,
232,Eddy,
233,Donquixote_Doflamingo,
234,Shanks,
236,Shoujou,
236,Doc_Q,
237,Jesus_Burgess,cover
240,Sanji,cover
241,Conis,flashback
243,Roronoa_Zoro,
248,Tony_Tony_Chopper,
248,Pierre,silhouette
248,Fuza,cover
249,Braham,cover
264,Enel,
265,Nico_Robin,
266,Holy,
266,Kamakiri,
267,Aisa,
277,Conis,K.O.
278,Aisa,K.O.
278,Moda,cover
283,Usopp,K.O.
285,Usopp,K.O.
285,Su,cover
286,Nami,K.O.
294,Aisa,K.O.
296,Nico_Robin,cover
296,Seto,flashback
297,Monkey_D._Luffy,K.O.
298,Comil,cover
299,Nola,flashback
299,Comil,cover
300,Su,
302,Nami,
303,Nico_Robin,
310,Chuchun,
311,Monkey_D._Luffy,
311,Pickles,
312,Sanji,
316,Gedatsu,cover
319,Gedatsu,cover
321,Roronoa_Zoro,
326,Goro,cover
334,Tyrannosaurus,
335,Franky,
335,Gonbe,cover
338,Rob_Lucci,
338,Tilestone,
339,Dirt_Boss,cover
341,Iceburg,
343,Rob_Lucci,
344,Nico_Robin,
344,Iceburg,cover
348,Hattori,
351,Rob_Lucci,
361,Daz_Bonez,cover; newspaper
363,Chimney,
364,Sanji,cover
365,Kokoro,cover
365,Chimney,cover
367,Sanji,
367,Peepley_Lulu,
368,Zambai,cover
368,Sodom,cover
369,Nami,cover
372,Blueno,
372,Wanze,
373,Usopp,cover
377,Tamagon,
378,Footbianco,cover
379,Monkey_D._Luffy,cover
380,Tilestone,
382,Galdino,cover
388,Kashii,Marine Rank
389,Kalifa,K.O.
391,Rob_Lucci,
394,Monkey_D._Luffy,cover
397,Nico_Robin,flashback
400,Sanji,
400,Crocodile,cover
400,Daz_Bonez,cover
403,Nami,flashback
404,Drophy,cover
406,Roronoa_Zoro,
408,Kalifa,cover
410,Roronoa_Zoro,cover
410,Tony_Tony_Chopper,cover
410,Rob_Lucci,
410,Mozu_and_Kiwi,
410,Paulie,
414,Spandam,
418,Monkey_D._Luffy,cover
418,Mozu_and_Kiwi,K.O.
420,Nico_Robin,
420,Paulie,
423,Yokozuna,cover
423,Nefertari_Vivi,cover
424,Dago,K.O.
425,Gonbe,cover
426,Roronoa_Zoro,
428,Gomorrah,K.O.
428,Gonbe,
430,Nami,
432,Mozu_and_Kiwi,image
434,Portgas_D._Ace,
434,Enel,cover
435,Mozu_and_Kiwi,
437,Yamenahare,cover
438,Bogard,cover
439,Iceburg,
447,MocDonald,cover
447,Unigaro,cover
451,Absalom,Zombie
452,John,
455,Franky,
456,Hogback,Zombie
460,Ganzui,flashback
461,Perona,
461,Jigoro,cover
462,Absalom,Zombie
462,Spacey,cover
462,Macro,cover
464,Kumashi,
472,Usopp,
472,Macro,cover
473,Usopp,
476,Sanji,K.O.
478,Oars,K.O.
479,Roronoa_Zoro,K.O.
479,Risky_Brothers,
480,Roronoa_Zoro,
481,Risky_Brothers,K.O.
483,Nami,
483,Asahija,Zombie
484,Sanji,
484,Risky_Brothers,
486,Nami,
489,Laboon,
490,Nami,
491,Nico_Robin,
499,Basil_Hawkins,cover
501,Monkey_D._Luffy,
501,Urouge,
504,Camie,
505,Eustass_Kid,
505,Trafalgar_D._Water_Law,cover
506,Crocus,image
507,Shakuyaku,
512,Borsalino,cover
514,Hattori,cover
516,Nami,cover
516,Aphelandra,flashback
517,Kalifa,cover
523,Aphelandra,
524,Bartholomew_Kuma,
525,Portgas_D._Ace,flashback
525,Hannyabal,silhouette
527,Galdino,
533,Daz_Bonez,
537,Nico_Robin,
541,Emporio_Ivankov,disbanded
545,Emporio_Ivankov,disbanded
547,Jinbe,disbanded
549,Buggy,
549,Marshall_D._Teach,
550,Gol_D._Roger,flashback
550,Lacroix,
551,Edward_Newgate,
551,Borsalino,
552,Skull,flashback
553,Tony_Tony_Chopper,cover page
553,Sakazuki,
553,Koby,
553,Donquixote_Doflamingo,
554,Salome,
557,Monkey_D._Garp,
561,Dracule_Mihawk,
562,Monkey_D._Luffy,cover
563,Ramba,
563,Donquixote_Doflamingo,disbanded
564,Franky,Cover
565,Brook,cover
566,Speed_Jiru,
567,Nico_Robin,cover
567,Jinbe,
568,Buggy,
568,Sengoku,
573,Squard,
574,Portgas_D._Ace,
577,Monkey_D._Luffy,K.O.
577,Donquixote_Doflamingo,
578,Avalo_Pizarro,
580,Bastille,Marine Rank
582,Emporio_Ivankov,flashback
590,Tony_Tony_Chopper,image
592,Pekkori,
593,Alvida,''cover page''
593,Karasu,[[Susu Susu no Mi|crows]]
594,Heat,
594,Jaygarcia_Saturn,
594,Shepherd_Ju_Peter,
596,Sanji,flashback
597,Boa_Hancock,flashback
598,Coribou,image
599,Daisy,flashback
600,Fake_Chopper,flashback
601,Fake_Sogeking,K.O.
602,Nami,
602,Brook,
604,Sanji,
605,Caribou,
607,Ankoro,in a barrel
608,Ishilly,
610,Tony_Tony_Chopper,
611,Zeo,
611,Megalo,cover
612,Caribou,
613,Hody_Jones,
614,Fukaboshi,
615,Roronoa_Zoro,
617,Camie,cover
621,Pisaro,
622,Usopp,cover
623,Strawberry,cover
624,Aladine,
624,Strawberry,cover
625,Hody_Jones,cover
631,Zeo,
632,Mr._9,cover
635,Dosun,
635,Wapol,cover
639,Ryuboshi,
639,Surume,cover
642,Den,K.O.
643,Neptune,
644,Usopp,
644,Tony_Tony_Chopper,
644,Daruma,flashback
646,Nola,cover
647,Conis,cover
648,Nami,
648,Zeo,K.O.
648,Wadatsumi,K.O.
649,Hody_Jones,K.O.
649,Hatchan,
650,Monkey_D._Luffy,
650,Nami,
650,Zeo,
651,Franky,
652,Shirahoshi,cover
653,Mero,
654,Nico_Robin,cover
657,Zambai,cover
659,Doran,
660,Tony_Tony_Chopper,cover
662,Smoker,cover
663,Kin'emon,flashback
663,Doran,
664,Trafalgar_D._Water_Law,image
664,Jewelry_Bonney,image
665,Uzu,
