name,bio
Bariete,"Bariete is a monkey mink who is a member of the Recon Squad, and the one in charge of guarding the gates of the Mokomo Dukedom."
Barrel,"The Tsumegeri Guards were four of the most powerful soldiers in the Arabasta Kingdom. They drank the Hero Water and attempted to take down Crocodile, but failed and died from the water's side effects shortly after Crocodile refused to even fight them to give them an honorable death."
Barry,Barry is a member of the Spade Pirates.
Bartholomew Kuma,"Bartholomew Kuma is a former Warlord of the Sea, the former king of the Sorbet Kingdom, and most notably an officer, as well as founding member of the Revolutionary Army with a bounty of 296,000,000. He is also the adoptive father of Jewelry Bonney, daughter of his late friend and fellow revolutionary Ginny."
Bartolomeo,"Bartolomeo the Cannibal is a Super Rookie, the captain of the Barto Club and the captain of the second ship of the Straw Hat Grand Fleet. Formerly a mob boss from the East Blue, Bartolomeo was inspired to become a pirate after witnessing Monkey D. Luffy's failed execution in Loguetown."
Basil Hawkins,"Basil Hawkins is an infamous pirate from North Blue known as the ""Magician"" and the captain of the Hawkins Pirates. He is one of twelve pirates who are referred to as the "" Worst Generation ""."
Basilisk,"The Basilisk is the second-in-command of Impel Down's Level 2: Beast Hell, under the Sphinx. It is a snake born from a chicken as a result of a rare mutation."
Baskerville,"Three-Headed Baskerville is the Chief Justice of Enies Lobby, in service of the World Government. Ostensibly a three-headed man, ""he"" is actually three men— Bas, And, and Kerville —who are such close friends that they prefer acting as one body."
Bastille,"""Shark Cutter"" Bastille is a Marine Vice Admiral who took part in the Summit War of Marineford. He later appeared in Dressrosa under the command of Admiral Fujitora."
Batchee,Batchee is a fly that Fullbody put in his soup to try to humiliate Sanji.
Batman,"Batman is a Gifter in the Beasts Pirates. Due to his actions and role, he is a minor antagonist of the Wano Country Arc."
Battaman,Battaman is a Gifter in the Beasts Pirates.
Baxcon,Baxcon is a dwarf from Tontatta Kingdom who first appeared in the Riku Royal Army Headquarters beneath the Flower Field.
Beak Remark,Beak Remark is a fishmonger and fisherman who runs on a store on Grove 42 of Sabaody Archipelago.
Beegirl,Beegirl is a Gifter in the Beasts Pirates.
Beer VI,Beer VI is the king of the Roshwan Kingdom and one of fifty monarchs who took part in the Levely.
Beetleman,Beetleman is a Gifter of the Beasts Pirates.
Bekori,Bekori is the former king of the Sorbet Kingdom.
Bell-mère,"Bell-mère was a former Marine, the owner of a mikan farm in Cocoyasi Village, and the adoptive mother of Nami and Nojiko. She raised the two girls in her hometown for approximately nine years until she was murdered by Arlong."
Belladonna,"Belladonna is one of the Kuja of Amazon Lily, and the doctor of the island."
Bellamy,"Bellamy ""the Hyena"" is a dyer and retired pirate hailing from the North Blue. Originally captain of the Bellamy Pirates, he was renowned in Mock Town as the ""Big-Time Rookie"" until his humiliating defeat by Monkey D. Luffy."
Bellett,"Bellett was the prince of an unnamed kingdom who became a pirate and was consequently imprisoned in Impel Down, and whose gender was unwillingly inverted."
Belo Betty,"Belo Betty is the commander of the East Army in the Revolutionary Army. She succeeded the previous commander, Ginny, eight years after her death."
Benn Beckman,Benn Beckman is the first mate of the Red Hair Pirates.
Bent,Bent is a student at the Walrus School on Elbaph.
Bentham,"Bentham of the Wild, alias Mr. 2 Bon Kurei, is a newkama and former Baroque Works officer agent."
Bepo,Bepo is a polar bear mink and the navigator of the Heart Pirates. He is the younger brother of the late Nox Pirate Zepo.
Bian,Bian is a dwarf from Tontatta Kingdom who serves as the leader of the Pink Bee Squad and a member of the Tontatta Pirates.
Biblo,"Biblo is a very old, giant owl and the chief librarian of the Owl Library, overseeing everything inside and keeping its books giant-sized."
Big Pan,"Big Pan is the largest former member of the Foxy Pirates and a combatant of the Groggy Monsters. He is a wotan, being half loach fish-man and half giant."
Bimine,"Bimine is the mayor of Pucci, ""The Gourmet Town"". He was first mentioned when the town of Pucci was brought up by Kalifa."
Bingo,Bingo is a former priest and cooper who currently lives in Ebisu Town in Wano Country. He formerly lived in the Flower Capital before losing all his money and being exiled.
Binz,Binz is an officer of the Neo Marines and a former member of the Marines. He is a major antagonist of One Piece Film: Z.
Birdy,Birdy is a Sea King. It is one of the six Sea Kings that speak to Shirahoshi when she fully manifests the power of Poseidon.
Bishamon,"Bishamon is a ninja and a member of the Beasts Pirates. He previously was a member of the Orochi Oniwabanshu which served the shogun of Wano Country, Kurozumi Orochi."
Bishonure-Onna,Bishonure-Onna is a Gifter of the Beasts Pirates who works under Black Maria.
Bisley,"Bisley is a Shinuchi of the Beasts Pirates and part of the Armored Division led by Sasaki. During the Raid on Onigashima, he was tamed by the power of the Kibi Kibi no Mi and joined the side of the Ninja-Pirate-Mink-Samurai Alliance."
Biyo,Biyo is a child who was held captive on Punk Hazard by Caesar Clown. He was freed with the rest of the children by the Straw Hat Pirates.
Bizarre,Bizarre is an infamous New World pirate captain who allied with Whitebeard.
Bjorn,Bjorn is the younger brother of Road and a student at the Walrus School on Elbaph.
Black Maria,"Black Maria is one of the Tobiroppo, the strongest six Shinuchi of the Beasts Pirates. She owns her own brothel on Onigashima near Kaidou's castle."
Blackback,"Blackback, also known by his initials BB, is a gorilla mink and a Guardian of the Whale Forest."
Blade,Blade is a giant from Elbaph who works as math teacher at the Walrus School.
Blakey,Blakey is a longnose lancetfish fish-man and a drummer in a swing jazz orchestra from Fish-Man Island.
Blamenco,Blamenco is the former 6th division commander of the Whitebeard Pirates.
Blenheim,Blenheim is the former 9th division commander of the Whitebeard Pirates.
Blondie,Blondie is an infamous New World pirate captain who allied with Whitebeard.
Blue Fan,Blue Fan is a member of the Kuja Pirates.
Blue Gilly,Blue Gilly is a martial artist from the Longleg Tribe. He joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi.
Bluegrass,Bluegrass is a Marine Vice Admiral and one of the nine that took part in the Egghead Incident. She serves as a minor antagonist in the Egghead Arc.
Bluejam,"Bluejam was the captain of the Bluejam Pirates, and an infamous pirate of the East Blue. He was the main antagonist of the Post-War Arc during Luffy's flashback sequence."
Blueno,"Blueno is an agent of CP0. Before the time skip, he was previously an agent of CP9; operating undercover as the bartender of a bar in Water 7."
Blumarine,Blumarine was the shipwright of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.
Boa Hancock,"""Pirate Empress"" Boa Hancock is the current captain of the Kuja Pirates and was the only female Warlord of the Sea before the organization's disbandment. She is the current empress of Amazon Lily, also known as the ""Snake Princess""."
Boa Marigold,"Boa Marigold is the younger sister of Boa Hancock, the ruler of Amazon Lily. She is also one of the second-in commands of the Kuja Pirates and the younger sister of Boa Sandersonia."
Boa Sandersonia,"Boa Sandersonia is the younger sister of Boa Hancock, the ruler of Amazon Lily. She is also one of the second-in commands of the Kuja Pirates and the older sister of Boa Marigold."
Bobbin,"""Sweeper"" Bobbin is a bishop-ranked combatant of the Big Mom Pirates. Due to his actions and role, he is a minor antagonist in the Whole Cake Island Arc."
Bobby Funk,Bobby Funk is an assassin from the Mogaro Kingdom and Kelly Funk's younger brother. He joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi.
Bobomba,Bobomba is a dwarf from Tontatta Kingdom and the younger brother of Bomba.
Bogard,Bogard is a Marine Headquarters Marine officer and the right hand man of Vice Admiral Monkey D. Garp.
Bomba,"Bomba is a dwarf from Tontatta Kingdom. He is one of the two vice chiefs of the Tonta Corps along with Rampo, under Gancho and Leo, and serves under Leo in the Tontatta Pirates."
Bongo,"Bongo is a former lumber dealer who currently lives in Ebisu Town in Wano Country. He formerly lived in the Flower Capital, but was exiled after being swindled by Komurasaki."
Bonk Punch,Bonk Punch is one of the Senior Officers and musicians of the Red Hair Pirates.
Boo,Boo is a member of the Chinjao Family and the vice-leader of the Happo Navy. He is a martial artist who joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi.
Boodle,Boodle is the mayor of Orange Town. He is an ally of the Straw Hat Pirates during the Orange Town Arc.
Boogie,Boogie is a member of the Kid Pirates.
Borsalino,"Borsalino, more commonly known by his alias Kizaru, is an Admiral in the Marines. After Kuzan resigned from the Marines and Sakazuki was promoted to Fleet Admiral, Kizaru is now the only remaining Admiral from the previous trio."
Braham,"Braham is one of the Shandia warriors who fought to take back Upper Yard from Enel. After the timeskip, he joined the God's Guards under Wyper."
Brannew,"Commodore Brannew is a Marine officer stationed at Marine Headquarters who assigns bounties to criminals. He was first introduced as a lieutenant commander during the Loguetown Arc, but was promoted to commodore during the timeskip."
Brew,Brew is an infamous New World pirate captain who allied with Whitebeard.
Briscola,"Briscola is a Shinuchi in the Beasts Pirates. During the raid on Onigashima, he was tamed by the power of the Kibi Kibi no Mi and joined the side of the Ninja-Pirate-Mink-Samurai Alliance."
Brocca,Brocca is an infamous New World pirate captain who allied with Whitebeard.
Brogy,"Brogy the Red Ogre is a giant from Elbaph and one of the two captains of the Giant Warrior Pirates alongside Dorry. Once an active and infamous threat in the seas long ago, Brogy became embroiled in a personal duel over a trivial dispute with his best friend and co-captain Dorry."
Brontosaurus,Brontosaurus was a dinosaur who lived on Little Garden.
Brook,"""Soul King"" Brook is the musician of the Straw Hat Pirates, one of their two swordsmen, and one of the Senior Officers of the Straw Hat Grand Fleet. He is the ninth member of the crew and the eighth to join, doing so at the end of the Thriller Bark Arc."
Bubblegum,Bubblegum is a member of the Kid Pirates.
Buche,"Buche is a member of the WCI 31, serving as the head chef of the first kitchen."
Buchi,"Buchi is an officer of the Black Cat Pirates. Along with his partner Sham, he is also the protector of the crew's ship, the Bezan Black, and together they are known as the Nyaban Brothers."
Buckingham Stussy,"Miss Buckingham Stussy, also known by her alias Miss Buckin, is a former member of both the Rocks Pirates and the illegal science institute MADS. She is the self-proclaimed lover of the deceased Emperor Edward Newgate and the mother of Edward Weevil, a former Warlord of the Sea."
Buffalo,"Buffalo is a combatant and an assassin of the Donquixote Pirates and an officer of the Pica Army. His real name is yet to be revealed, as ""Buffalo"" is a codename given to him upon joining the Donquixote Pirates."
Buggy,"Buggy the Star Clown is the nominal president of Cross Guild, and one of the current Four Emperors dominating the New World. Initially a Roger Pirates apprentice alongside Shanks, Buggy succeeded his disbanded mentors as a career pirate in the East Blue, in time becoming captain of the Buggy Pirates."
Buhichuck,"Buhichuck was the boss of the "" Surprise Zombies "" in the dining room."
Building Snake,Building Snake is one of the Senior Officers and the navigator of the Red Hair Pirates.
Bulldog,"Bulldog is the son of Conney and the king of the Sorbet Kingdom. He held the throne one generation before Bekori’s reign, and reclaimed his position after Bekori's successor Bartholomew Kuma became a fugitive."
Bunbuku,"Bunbuku is a teapot owned by Tenguyama Hitetsu that was given life by ""eating"" the Inu Inu no Mi, Model: Tanuki."
Bungo,"Bungo is an arsonist in Wano Country who currently lives in Ebisu Town. He formerly lived in the Flower Capital, but was exiled after being swindled by Komurasaki."
Bunny Joe,"Bunny Joe is a member of the Revolutionary Army and the leader of the group tasked with freeing the slaves on Tequila Wolf, including Nico Robin."
Bushon,"Bushon is one of the Sea Train organizers in Water 7, along with Stevie."
Busshiri,Busshiri was one of the archaeologists of Ohara.
Byron,Byron is one of the slaves who was sold at the Human Auctioning House and was the first in the queue for sale. He is a pirate and musician.
CB Gallant,CB Gallant was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.
Cabaji,"Cabaji the Acrobat is the Buggy Pirates chief of staff, as well as an acrobat swordsman. He was a member of Buggy's Delivery, and is currently a member of Cross Guild."
Caesar Clown,"Caesar Clown, who was referred to as "" Master "" by his subordinates, is a scientist, the leading expert on chemical weapons of mass destruction, and one of the co-founders of NEO MADS. Caesar is a former colleague of Vegapunk, having worked with him both in MADS and later the World Government research facility on Punk Hazard, an island that Caesar went on to devastate with a toxic gas explosion, earning him a bounty of 300,000,000."
Caimanlady,"Caimanlady is a Gifter in the Beasts Pirates, being part of the surveillance division called the "" Marys ""."
Camel,Camel is Kuzan's former super penguin traveling companion.
Camie,"Camie is a kissing gourami mermaid that first appeared in Hatchan's Sea-Floor Stroll cover story. She first appeared in the main series after being spat out of a large sea boar that was saved by Hatchan, along with her starfish pet and master, Pappag."
Cancer,Cancer is a Marine vice admiral.
Candre,Candre is Andre's twin brother and an officer within the Marines.
Cands,Cands is an infamous New World pirate captain who allied with Whitebeard. He only appears in the manga.
Candy,Candy is the captain of the Candy Pirates.
Capone Bege,"Capone ""Gang"" Bege is a mafia don-turned- pirate and the captain of the Fire Tank Pirates. He is also one of twelve pirates who are referred to as the "" Worst Generation ""."
Capone Pez,"Capone ""Gang"" Pez is the infant son of Capone Bege and Charlotte Chiffon, as well as the grandson of Charlotte Linlin and Pound."
Capote,"Capote is a billfish fish-man and a former combatant of the Foxy Pirates. Due to his actions, he is a major antagonist during the Long Ring Long Land Arc."
Caribou,"""Wet-Haired Caribou"" is an infamous rookie pirate who was at the Sabaody Archipelago around the time of the Straw Hat Pirates ' reunion. He has earned a bounty of 210,000,000, making him part of the new generation of rookie pirates with bounties over 100,000,000."
Carina,"""Phantom Thief"" Carina is a character who appears in Heart of Gold and One Piece Film: Gold. She is a thief who formerly worked as a songstress in Gran Tesoro, plotting to steal its riches."
Carmel,"Mother Carmel was a child trafficker dealing in orphans, that operated in the Underworld several decades ago, under the code name of ""Mountain Witch"". Running an orphanage known as the "" Sheep's House "", her seemingly benevolent nature caused her to be known as the ""Holy Mother""."
Carne,"Carne is one of the main cooks at the Baratie, currently serving as the restaurant's head charcutier."
Carrot,"Carrot is a rabbit mink, the current ruler of the Mokomo Dukedom, and a former member of the Kingsbirds and Inuarashi Musketeer Squad. She was trained by Pedro, whose will she carries on."
Catacombo,"Rear Admiral Catacombo is a Marine officer who led a team to capture the Straw Hat Pirates. Non-canonically, he is the Base Commander of the GR 66 Marine Base on the Sabaody Archipelago."
Catarina Devon,"Catarina Devon, known as the ""Crescent Moon Hunter"", is one of Ten Titanic Captains of the Blackbeard Pirates, serving as captain of the sixth ship of the fleet. She is regarded as the worst female pirate in history and was one of the most dangerous criminals ever to be imprisoned within Impel Down until she was freed and recruited by Marshall D. Teach."
Caucasusman,"Caucasusman is a Gifter in the Beasts Pirates ' Armored Division. During the Raid on Onigashima, he was tamed by the power of the Kibi Kibi no Mi and joined the side of the Ninja-Pirate-Mink-Samurai Alliance."
Cavendish,"Cavendish of the White Horse, also known as the "" Pirate Prince "", is a famous Super Rookie and the captain of the Beautiful Pirates. He joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi."
Cerberus,"Cerberus is Figarland Shamrock's sword, which has been animated by a Mythical Zoan-type Devil Fruit, allowing it to take the form of a monstrous, three-headed dog."
Cezar,Cezar is the recently-crowned king of the Ilisia Kingdom and one of fifty monarchs who took part in the Levely.
Chabo,Chabo is a young boy from Gosa Village. He works for Nojiko on her mikan farm.
Chaka,"Chaka the Jackal is one of two head guards in the Arabasta kingdom who serves under Igaram, alongside Pell. Chaka was the acting captain of the royal guard in Igaram's absence."
Chao,Chao is a dwarf from the Tontatta Kingdom who was enslaved in the SMILE Factory.
Chap,Chap is the king of the Deul Kingdom in the North Blue and one of fifty monarchs who took part in the Levely.
Chappe,"""Rope-Tugging"" Chappe is an ex-prisoner and former member of the Centaur Patrol Unit under Brownbeard, having served as one of Caesar Clown’s henchmen. He was first seen fighting against the Marines of G-5 on Punk Hazard."
Charlotte Amande,"""Demon Lady"" Charlotte Amande is the third daughter and seventh child of the Charlotte Family, the second quadruplet sister to Mondée, Hachée, and Effilée, and a snakeneck - human hybrid. She also is an officer of the Big Mom Pirates and serves as Totto Land's Minister of Nuts, governing over Nuts Island."
Charlotte Anana,"Charlotte Anana is the 39th daughter of the Charlotte Family, as well as the 85th and youngest overall child, and is a member of the Big Mom Pirates."
Charlotte Angel,Charlotte Angel is the seventh daughter and 17th child of the Charlotte Family and the younger triplet sister of Cracker and Custard. She is also an officer of the Big Mom Pirates.
Charlotte Anglais,Charlotte Anglais is the 42nd son and 78th child of the Charlotte Family and a member of the Big Mom Pirates.
Charlotte Basans,Charlotte Basans is the 23rd son and 39th child of the Charlotte Family and the younger twin brother of Saint-Marc. He also is an officer of the Big Mom Pirates.
Charlotte Basskarte,Charlotte Basskarte is the 13th son and 22nd child of the Charlotte Family and the middle triplet brother of Nusstorte and Dosmarche. He is also an officer of the Big Mom Pirates.
Charlotte Bavarois,"Charlotte Bavarois is the 26th son and 45th child of the Charlotte Family, as well as an officer of the Big Mom Pirates. He is the younger twin brother of Snack."
Charlotte Brownie,Charlotte Brownie is the 32nd son and 58th child of the Charlotte Family and an officer of the Big Mom Pirates. He joined Charlotte Oven's army to intercept the Straw Hat Pirates on Cacao Island.
Charlotte Broyé,"Charlotte Broyé is the ninth daughter and 20th child of the Charlotte Family and the younger twin sister of Brûlée. She is also an officer of the Big Mom Pirates and serves as Totto Land's Minister of Meringue, governing over Milenge Island."
Charlotte Brûlée,Charlotte Brûlée is the eighth daughter and 19th child of the Charlotte Family and the older twin sister of Broyé. She is also an officer of the Big Mom Pirates.
Charlotte Cabaletta,"Charlotte Cabaletta is the eighth son and the 13th child of the Charlotte Family and the fourth quintuplet brother of Opera, Counter, Cadenza, and Gala. He is also an officer of the Big Mom Pirates."
Charlotte Cadenza,"Charlotte Cadenza is the seventh son and the twelfth child of the Charlotte Family and the third quintuplet brother of Opera, Counter, Cabaletta, and Gala. He is also an officer of the Big Mom Pirates."
Charlotte Chiboust,"Charlotte Chiboust is the 30th son and 51st child of the Charlotte Family and an officer of the Big Mom Pirates. He also serves as Totto Land's Minister of Mix, governing over Sanshoku Island."
Charlotte Chiffon,"Charlotte Chiffon is the 22nd daughter and the 52nd child of the Charlotte Family and Totto Land's former Minister of Puff having governed over Funwari Island until her defection. She is Capone Bege's wife and the mother of Capone Pez, as well as a member of Bege's Fire Tank Pirates."
Charlotte Cinnamon,"Charlotte Cinnamon is the 16th daughter and 37th child of the Charlotte Family, the younger triplet sister of Smoothie and Citron, and a longleg - human hybrid. She also is an officer of the Big Mom Pirates."
Charlotte Citron,"Charlotte Citron is the 15th daughter and 36th child of the Charlotte Family, the middle triplet sister of Smoothie and Cinnamon, and a longleg - human hybrid. She also is an officer of the Big Mom Pirates and serves as Totto Land's Minister of Eggs, governing over Kimi Island."
Charlotte Compo,"Charlotte Compo is the 17th son and 28th child of the Charlotte Family and the older twin brother of Laurin. He also is an officer of the Big Mom Pirates and serves as Totto Land's Minister of Pie, governing over Piepie Island."
Charlotte Compote,"Charlotte Compote is the eldest daughter and second child of the Charlotte Family and an officer of the Big Mom Pirates. She also serves as Totto Land's Minister of Fruits, governing over Fruits Island."
Charlotte Cornstarch,"Charlotte Cornstarch is the 11th daughter and 27th child of the Charlotte Family and the younger triplet sister of Moscato and Mash. She also is an officer of the Big Mom Pirates and serves as Totto Land's Minister of Love, governing over Loving Island."
Charlotte Counter,"Charlotte Counter is the sixth son and the 11th child of the Charlotte Family and the second quintuplet brother of Opera, Cadenza, Cabaletta, and Gala. He is also an officer of the Big Mom Pirates."
Charlotte Cracker,"""Thousand Arms"" Charlotte Cracker is the tenth son and 15th child of the Charlotte Family and the oldest triplet brother of Custard and Angel. He is also one of the Three Sweet Commanders of the Big Mom Pirates and serves as Totto Land's Minister of Biscuits, governing Biscuits Island."
Charlotte Custard,Charlotte Custard is the sixth daughter and 16th child of the Charlotte Family and the middle triplet sister of Cracker and Angel. She is also an officer of the Big Mom Pirates.
Charlotte Dacquoise,"Charlotte Dacquoise is the 24th son and 41st child of the Charlotte Family and an officer of the Big Mom Pirates. He also serves as Totto Land's Minister of Jam, governing over Jam Island."
Charlotte Daifuku,"Charlotte Daifuku is the third son and fourth child of the Charlotte Family and the middle triplet brother of Katakuri and Oven. He is also an officer of the Big Mom Pirates and serves as Totto Land's Minister of Beans, governing over Poripori Island."
Charlotte De-Chat,Charlotte De-Chat is the 44th son and the 81st child of the Charlotte Family. He is a hybrid between a human and a fish-man.
